PacketSeqNo,GeneratingTime,ArrivalTime,MulticastIdx
124,12.5855269432,15.5907900333,3
125,12.6874580383,15.6921639442,3
126,12.7893559933,15.796241045,3
127,12.8911819458,15.897644043,3
128,12.9931080341,16.0005719662,3
129,13.0948460102,16.101115942,3
130,13.196917057,16.2048621178,3
131,13.29885602,16.3036150932,3
132,13.4013280869,16.4086580276,3
133,13.5037679672,16.5111300945,3
134,13.6060941219,16.6127140522,3
135,13.7078559399,16.7138640881,3
136,13.8099489212,16.8152139187,3
137,13.9121370316,16.9178230762,3
138,14.0138299465,17.0198049545,3
139,14.1172430515,17.1252949238,3
140,14.219039917,17.2276310921,3
141,14.3208649158,17.3264451027,3
142,14.4229009151,17.4286561012,3
143,14.5250039101,17.5297989845,3
144,14.6271440983,17.6328799725,3
145,14.7291429043,17.7372140884,3
146,14.8310580254,17.8394060135,3
147,14.9327349663,17.9387879372,3
148,15.03480196,18.0443799496,3
149,15.1368379593,18.141865015,3
150,15.2386441231,18.2439920902,3
151,15.340362072,18.3448479176,3
152,15.4421179295,18.4476161003,3
153,15.5440261364,18.5495960712,3
154,15.6456050873,18.6516749859,3
155,15.7476139069,18.7517490387,3
156,15.8499469757,18.8589630127,3
157,15.9516410828,18.9580669403,3
158,16.0532729626,19.0595390797,3
159,16.1557040215,19.1613190174,3
160,16.2576370239,19.2649619579,3
161,16.3597350121,19.3649151325,3
162,16.4616539478,19.467427969,3
163,16.5634019375,19.5689430237,3
164,16.6660480499,19.6742589474,3
165,16.7685129642,19.7762460709,3
166,16.8703761101,19.8790860176,3
167,16.9722719193,19.9776580334,3
168,17.0740730762,20.0809149742,3
169,17.1756439209,20.1813650131,3
170,17.2789981365,20.286190033,3
171,17.3805549145,20.3852500916,3
172,17.4828131199,20.487473011,3
173,17.5859630108,20.5939350128,3
174,17.6879580021,20.6942119598,3
175,17.7897450924,20.7962379456,3
176,17.8916900158,20.89925313,3
177,17.9936599731,20.9994170666,3
178,18.095457077,21.1007590294,3
179,18.1978909969,21.2038490772,3
180,18.2998359203,21.3070120811,3
181,18.4016869068,21.4100451469,3
182,18.5033490658,21.5097169876,3
183,18.6050729752,21.6108751297,3
184,18.7068490982,21.7123579979,3
185,18.8091139793,21.8145210743,3
186,18.9108860493,21.9166309834,3
187,19.0129890442,22.0193021297,3
188,19.1147940159,22.1207749844,3
189,19.2164080143,22.2221491337,3
190,19.3179581165,22.3233060837,3
191,19.4213781357,22.4282779694,3
192,19.5236749649,22.5304789543,3
193,19.6253581047,22.6316370964,3
194,19.7271261215,22.7342629433,3
195,19.8286969662,22.8337790966,3
196,19.9303379059,22.9360611439,3
197,20.032184124,23.0380899906,3
198,20.1360509396,23.1470439434,3
199,20.2377300262,23.2460989952,3
200,20.3393270969,23.346683979,3
201,20.4423689842,23.4481070042,3
202,20.5442740917,23.5499689579,3
