PacketSeqNo,ArrivalTime,MulticastIdx
1,6.90321803093,1
2,6.96657896042,1
3,7.01977801323,1
4,7.07479500771,1
5,7.11842989922,1
6,7.1668419838,1
7,7.20665287971,1
8,7.26280999184,1
9,7.32267093658,1
10,7.37066984177,1
11,7.43050003052,1
12,7.47207188606,1
13,7.52299284935,1
14,7.57077693939,1
15,7.62715888023,1
16,7.6748290062,1
17,7.71086883545,1
18,7.74268198013,1
19,7.78237199783,1
20,7.81451582909,1
21,7.85584402084,1
22,7.89104104042,1
23,7.93900489807,1
24,8.01819086075,1
25,8.05093288422,1
26,8.09876203537,1
27,8.13883304596,1
28,8.17072582245,1
29,8.20297002792,1
30,8.2427239418,1
31,8.29060792923,1
32,8.33518004417,1
33,8.37492489815,1
34,8.4315340519,1
35,8.47466182709,1
36,8.51458597183,1
37,8.54773187637,1
38,8.59887290001,1
39,8.63880300522,1
40,8.67074799538,1
41,8.72705793381,1
42,8.7587480545,1
43,8.81076693535,3
44,8.8426129818,3
45,8.87485599518,3
46,8.92252397537,3
47,8.9625480175,3
48,8.99453902245,3
49,9.0398209095,3
50,9.0790438652,3
51,9.11843895912,3
52,9.15447497368,3
53,9.20361804962,3
54,9.23845887184,3
55,9.27043795586,3
56,9.30274295807,3
57,9.34750103951,3
58,9.39869904518,3
59,9.44404196739,3
60,9.48247098923,3
61,9.54273891449,3
62,9.58363604546,3
63,9.64674186707,1
64,9.65027189255,1
65,9.68271303177,1
66,9.73067593575,1
67,9.76655292511,1
68,9.80319786072,1
69,9.85465788841,1
70,9.88644385338,1
71,9.94677495956,1
72,9.99107193947,1
73,10.0226359367,1
74,10.062515974,1
75,10.094452858,1
76,10.1305549145,1
77,10.1630709171,1
78,10.2146959305,1
79,10.2466518879,1
80,10.2786948681,1
81,10.3226189613,1
82,10.3632919788,1
83,10.4026799202,1
84,10.4668200016,3
85,10.4788088799,3
86,10.5350339413,3
87,10.5665538311,3
88,10.6072099209,3
89,10.6466808319,3
90,10.678830862,3
91,10.7107930183,3
92,10.7427828312,3
93,10.7783708572,3
94,10.8108549118,3
95,10.8430519104,3
96,10.8825559616,3
97,10.9189419746,3
98,10.9625189304,3
99,10.99503088,3
100,11.0426390171,3
101,11.0750508308,3
102,11.1145269871,3
103,11.1466319561,3
104,11.1789808273,3
105,11.2265849113,3
106,11.2747299671,3
107,11.3267710209,3
108,11.3826169968,3
109,11.4184818268,3
110,11.4507360458,3
111,11.490694046,3
112,11.5264549255,3
113,11.5829539299,1
114,11.5985250473,1
115,11.6466038227,1
116,11.6995198727,1
117,11.7505860329,1
118,11.7867820263,1
119,11.8228240013,1
120,11.8546140194,1
121,11.8866488934,1
122,11.9420399666,1
123,11.9784839153,1
124,12.0187568665,1
125,12.0628259182,1
126,12.0946788788,1
127,12.1308019161,1
128,12.1745760441,1
129,12.2187860012,1
130,12.2507529259,1
131,12.2872970104,1
132,12.3309738636,1
133,12.3664748669,1
134,12.4191758633,3
135,12.4490559101,3
136,12.4865529537,3
137,12.5186979771,3
138,12.5546729565,3
139,12.5945088863,3
140,12.6270749569,3
141,12.6706199646,3
142,12.7307720184,3
143,12.7783548832,3
144,12.8345968723,3
145,12.8791480064,3
146,12.9145209789,3
147,12.9586210251,3
148,12.998819828,3
149,13.0548498631,3
150,13.0947179794,3
151,13.1267809868,3
152,13.1588430405,3
153,13.2027330399,3
154,13.2427020073,3
155,13.2906169891,3
156,13.3588240147,1
157,13.3908729553,1
158,13.4347438812,1
159,13.4749829769,1
160,13.5147638321,1
161,13.5705108643,1
162,13.6107859612,1
163,13.6548178196,1
164,13.7108409405,1
165,13.7466058731,1
166,13.7787158489,1
167,13.8270409107,1
168,13.8667469025,1
169,13.9186658859,1
170,13.9590339661,1
171,13.9988410473,1
172,14.0426738262,1
173,14.0745849609,1
174,14.1227629185,1
175,14.1707508564,1
176,14.2231068611,1
177,14.2668669224,1
178,14.3015420437,1
179,14.3478569984,1
180,14.3909518719,1
181,14.4305510521,1
182,14.4828128815,1
183,14.5474369526,1
184,14.5866620541,1
185,28.6867320538,2
186,28.7394089699,2
187,28.7795188427,2
188,28.8108658791,2
189,28.8667259216,2
190,28.9155199528,2
191,28.9626729488,2
192,29.0103759766,2
193,29.0431308746,2
194,29.0865058899,2
195,29.130756855,2
196,29.1784558296,2
197,29.2063629627,2
198,29.2589449883,2
199,29.2987680435,2
200,29.3386659622,2
201,29.3827319145,2
202,29.4313688278,2
203,29.4666619301,2
204,29.5065219402,2
205,29.5385358334,2
206,29.5706510544,2
207,29.6108820438,2
208,29.6667098999,2
209,29.7223639488,2
210,29.7627818584,2
211,29.8228478432,0
212,29.8423929214,0
213,29.8906338215,0
214,29.9426169395,0
215,29.9785909653,0
216,30.0114438534,0
217,30.0507538319,0
218,30.0825338364,0
219,30.122604847,0
220,30.1670320034,0
221,30.2147419453,0
222,30.2466309071,0
223,30.2866978645,0
224,30.3186998367,0
225,30.3545000553,0
226,30.3988699913,0
227,30.4441440105,0
228,30.4907300472,0
229,30.5270600319,0
230,30.57447505,0
231,30.6145739555,0
232,44.6865389347,3
233,44.7345900536,3
234,44.7802238464,3
235,44.8348898888,3
236,44.8746318817,3
237,44.9189529419,3
238,44.962553978,3
239,45.0068969727,3
240,45.0466659069,3
241,45.090528965,3
242,45.1263408661,3
243,45.1904108524,3
244,45.2306389809,3
245,45.278621912,3
246,45.3425240517,3
247,45.3915059566,3
248,45.4230630398,3
249,45.4643568993,3
250,45.5228319168,3
251,45.5864870548,3
252,45.6466419697,3
253,45.7027239799,3
254,45.7547578812,3
255,45.8064680099,3
256,45.8386509418,3
257,45.8791270256,3
258,45.942456007,3
259,45.9949200153,1
260,46.0224769115,1
261,46.070556879,1
262,46.1186659336,1
263,46.1705780029,1
264,46.2067170143,1
265,46.2547118664,1
266,46.2912230492,1
267,46.3224518299,1
268,46.3724989891,1
269,46.4307320118,1
270,46.4903519154,1
271,46.5304329395,1
272,46.5985879898,1
273,46.6387660503,1
274,46.6908090115,1
275,46.7313230038,1
276,46.7666230202,1
277,46.8067359924,1
278,46.8505978584,1
279,46.8834569454,1
280,46.9224150181,1
281,46.9746060371,1
282,47.0107209682,1
283,47.0557260513,1
284,47.0870258808,1
285,47.1547880173,3
286,47.1825449467,3
287,47.2311840057,3
288,47.2716548443,3
289,47.3034060001,3
290,47.3434460163,3
291,47.3904988766,3
292,47.4464819431,3
293,47.4908719063,3
294,47.5426769257,3
295,47.5866749287,3
296,47.630715847,3
297,47.6827750206,3
298,47.731194973,3
299,47.7786839008,3
300,47.8147888184,3
301,47.8477139473,3
302,47.882956028,3
303,47.922372818,3
304,47.9666178226,3
305,48.0111279488,3
306,48.0426459312,3
307,48.0948929787,1
308,48.1347539425,1
309,48.1826078892,1
310,48.2304978371,1
311,48.2708859444,1
312,48.322865963,1
313,48.3703680038,1
314,48.4025158882,1
