PacketSeqNo,ArrivalTime,MulticastIdx
1,10.8688728809,1
2,10.907640934,1
3,10.9461069107,1
4,11.0099649429,1
5,11.0541949272,1
6,11.086537838,1
7,11.1341838837,1
8,11.1781339645,1
9,11.2103509903,1
10,11.2462618351,1
11,11.2823879719,1
12,11.3183948994,1
13,11.3582420349,1
14,11.4020779133,1
15,11.454750061,1
16,11.5020320415,1
17,11.5463039875,1
18,11.5943598747,1
19,11.6300799847,1
20,11.6621949673,1
21,11.7022490501,1
22,11.7462399006,1
23,11.7783148289,1
24,11.862195015,1
25,11.9185130596,1
26,11.9622080326,1
27,12.0101349354,1
28,12.0500838757,1
29,12.1061990261,1
30,12.1381969452,1
31,12.1701190472,1
32,12.2223930359,1
33,12.270321846,1
34,12.302038908,1
35,12.3383870125,1
36,12.3861548901,1
37,12.4260919094,1
38,12.4581558704,1
39,12.4981629848,1
40,12.5301499367,1
41,12.570497036,1
42,12.6102409363,1
43,12.6669719219,1
44,12.7102570534,1
45,12.7594139576,1
46,12.8222670555,1
47,12.8621408939,1
48,12.9221129417,1
49,12.9820659161,1
50,35.0900359154,2
51,35.1265058517,2
52,35.1746280193,2
53,35.2389318943,2
54,35.2792329788,2
55,35.317953825,2
56,35.3713958263,2
57,35.427011013,2
58,35.4741508961,2
59,35.5220148563,2
60,35.5701639652,2
61,35.6025898457,2
62,35.6500639915,2
63,35.694111824,2
64,35.7381420135,2
65,35.7870259285,2
66,35.8421430588,2
67,35.886813879,2
68,35.9381849766,2
69,35.9901230335,2
70,36.0424740314,2
71,36.0781710148,2
72,36.1380319595,2
73,36.186221838,2
74,36.2181270123,2
75,36.2500050068,2
76,36.2981989384,0
77,36.321890831,0
78,36.3617858887,0
79,36.4062390327,0
80,36.4501490593,0
81,36.4950628281,0
82,36.5381999016,0
83,36.5701289177,0
84,36.6020219326,0
85,36.6342048645,0
86,36.6670558453,0
87,36.7337620258,0
88,36.794836998,0
89,36.8421430588,0
90,36.8981809616,0
91,36.9540278912,0
92,37.0062758923,0
93,37.0424358845,0
94,37.0940189362,0
95,37.1462349892,0
96,37.194111824,0
97,37.2385029793,0
98,37.2866499424,0
99,37.3501329422,0
100,37.3907649517,0
101,37.4262168407,0
102,37.4955070019,0
103,37.5302069187,0
104,59.6059138775,3
105,59.6382009983,3
106,59.6820089817,3
107,59.7258729935,3
108,59.7792048454,3
109,59.8218438625,3
110,59.8620698452,3
111,59.9060008526,3
112,59.9711089134,3
113,60.0140509605,3
114,60.0539288521,3
115,60.0920000076,3
116,60.1458909512,3
117,60.1981990337,3
118,60.2461998463,3
119,60.2984080315,3
120,60.3540129662,3
121,60.4144029617,3
122,60.4584639072,3
123,60.5101139545,3
124,60.570294857,1
125,60.6061179638,1
126,60.65020895,1
127,60.701900959,1
128,60.7342128754,1
129,60.7737090588,1
130,60.8345549107,1
131,60.878223896,1
132,60.9222559929,1
133,60.9621288776,1
134,61.0101659298,1
135,61.083108902,1
136,61.1263170242,1
137,61.1781189442,1
138,61.2221310139,1
139,61.2628560066,1
140,61.3141689301,1
141,61.3542709351,1
142,61.3861958981,1
143,61.4260828495,1
144,61.4702138901,1
145,61.5061130524,1
146,61.5542850494,1
147,61.6100690365,1
148,83.7021889687,2
149,83.7660849094,2
150,83.8020818233,2
151,83.8420770168,2
152,83.878207922,2
153,83.9342398643,2
154,83.9744288921,2
155,84.0219540596,2
156,84.0700230598,2
157,84.1100668907,2
158,84.1501510143,2
159,84.2141308784,2
160,84.24979496,2
161,84.298115015,2
162,84.3379428387,2
163,84.3714189529,2
164,84.4136738777,2
165,84.4460139275,2
166,84.4777979851,2
167,84.5180709362,2
168,84.5498449802,2
169,84.5898208618,2
170,84.6219880581,2
171,84.6621129513,2
172,84.7184159756,0
173,84.750002861,0
174,84.7902739048,0
175,84.8222098351,0
176,84.8701298237,0
177,84.9190950394,0
178,84.9618468285,0
179,85.0299580097,0
180,85.0739159584,0
181,85.110585928,0
182,85.1661748886,0
183,85.1980500221,0
184,85.2578229904,0
185,85.3022048473,0
186,85.3379750252,0
187,85.386469841,0
188,85.4342749119,0
189,85.479143858,0
190,85.5147130489,0
191,85.5471768379,0
192,85.6023638248,2
193,85.6461229324,2
194,85.681978941,2
