PacketSeqNo,ArrivalTime,MulticastIdx
318,24.2330639362,3
319,24.281129837,3
320,24.3304870129,1
321,24.3567698002,1
322,24.4006369114,1
323,24.4487819672,1
324,24.492967844,1
325,24.5487508774,1
326,24.6506619453,1
327,24.7260727882,1
328,24.7728939056,1
329,24.8294467926,1
330,24.8769040108,1
331,24.9304058552,1
332,24.9730157852,1
333,25.0090529919,1
334,25.042776823,1
335,25.0864799023,1
336,25.126019001,1
337,25.172755003,1
338,25.2132198811,1
339,25.253071785,1
340,25.2928628922,1
341,25.3420407772,1
342,25.3969738483,1
343,25.4409120083,1
344,25.4770867825,1
345,25.5370388031,1
346,25.5728828907,1
347,25.6176629066,1
348,25.6570138931,1
349,25.7007098198,1
187,25.749712944,2
188,25.7778217793,2
189,25.8161377907,2
190,25.8682019711,2
191,25.9251148701,2
192,25.9640138149,2
193,26.0042769909,2
194,26.0700819492,2
195,26.124229908,2
196,26.1881167889,2
197,26.2442269325,2
198,26.2803688049,2
199,26.3283100128,2
200,26.375898838,2
258,26.4688940048,2
259,26.5168550014,2
260,26.5641438961,2
261,26.6000709534,2
262,26.6487219334,0
263,26.7006587982,0
264,26.7526698112,0
265,26.8300199509,0
266,26.8904838562,0
267,26.942679882,0
268,27.0041909218,0
269,27.0639498234,0
270,27.1087889671,0
271,27.1758649349,0
272,27.2519989014,0
273,27.32051301,0
274,27.3641018867,0
275,27.424325943,0
276,27.4724898338,0
277,27.5320909023,0
278,27.5803828239,0
279,27.6321640015,0
280,27.6883678436,0
281,27.7691128254,0
282,27.8176219463,0
283,27.9120328426,2
284,27.9643378258,2
285,28.007986784,2
286,28.0519268513,2
287,28.1007068157,2
288,28.1733379364,2
289,28.2321298122,2
290,28.2960808277,2
291,28.3481199741,2
292,28.4047019482,2
293,28.4367718697,2
294,28.4645009041,2
295,28.5183358192,2
296,28.5611619949,2
297,28.611967802,2
298,28.6528558731,2
299,28.7243888378,2
300,28.7615628242,2
301,28.8359618187,2
302,28.8839409351,2
303,28.9402368069,2
304,28.9881248474,2
305,29.0442419052,2
306,29.1251339912,0
307,29.1325378418,0
308,29.175839901,0
309,29.2243750095,0
310,29.280230999,0
311,29.3243629932,0
312,29.3920898438,0
313,29.4485449791,0
314,29.4960107803,0
315,29.5520329475,0
316,29.5961298943,0
317,29.6404600143,0
318,29.688672781,0
319,29.7488617897,0
320,29.804240942,0
321,29.8607959747,0
322,29.913618803,0
323,29.960258007,0
324,29.9999909401,0
325,30.063010931,0
441,30.1702008247,3
442,30.1966159344,3
443,30.2447338104,3
444,30.2968199253,3
445,30.3139529228,3
446,30.3614299297,3
447,30.4006638527,3
448,30.4606928825,3
449,30.5086569786,3
450,30.5486798286,3
451,30.6207418442,3
452,30.6728689671,3
453,30.7088289261,3
454,30.7504827976,3
455,30.8092339039,3
456,30.8652257919,3
457,30.90970397,3
458,30.9486339092,3
459,31.0127978325,3
460,31.0606749058,3
461,31.1005117893,3
462,31.1500048637,3
463,31.2070188522,3
464,31.2573139668,1
465,31.2966418266,1
466,31.3364009857,1
467,31.3885178566,1
468,31.4364378452,1
469,31.4777479172,1
470,31.5286200047,1
