PacketSeqNo,ArrivalTime,MulticastIdx
1,2.98810482025,1
2,3.0750579834,1
3,3.12277889252,1
4,3.16674399376,1
5,3.20676898956,1
6,3.24725198746,1
7,3.28284978867,1
8,3.31945490837,1
9,3.36404681206,1
10,3.40341281891,1
11,3.44009780884,1
12,3.50011396408,1
13,3.54015183449,1
14,3.57166194916,1
15,3.62251996994,1
16,3.68425798416,1
17,3.73321294785,1
18,3.8202958107,1
19,3.85632586479,1
20,3.90430688858,1
21,3.96004295349,1
22,3.99624681473,1
23,4.04006385803,1
24,4.10481786728,1
25,4.1389529705,1
26,4.17930388451,1
27,4.21931195259,1
28,4.25836896896,1
29,4.29961299896,1
30,4.33179187775,1
31,4.37211179733,1
32,4.42453980446,1
33,4.46927499771,1
34,4.50061988831,1
35,4.54019093513,1
36,4.59234786034,1
37,4.62826180458,1
38,4.66313099861,1
39,4.6970717907,1
40,4.75182795525,1
41,4.78850483894,1
42,4.84812283516,1
43,4.89246582985,1
44,4.95231485367,1
45,5.01231598854,1
46,5.06453680992,3
47,5.0962369442,3
48,5.15235280991,3
49,5.1921479702,3
50,5.24770998955,3
51,5.28821897507,3
52,5.33215594292,3
53,5.3801548481,3
54,5.44019579887,3
55,5.48811078072,3
56,5.52443194389,3
57,5.56420779228,3
58,5.60393285751,3
59,5.66000699997,3
60,5.71211099625,3
61,5.78843593597,3
62,5.83984398842,3
63,5.88023281097,3
64,5.92878198624,3
65,5.96401381493,3
66,6.01598882675,3
67,6.07624292374,3
68,6.13082289696,3
69,6.17475986481,3
70,6.22655296326,3
71,6.2709197998,3
72,6.33622789383,3
73,6.37652277946,3
74,6.42012882233,3
75,6.46032881737,3
76,6.52001094818,1
77,6.57360482216,1
78,6.6237988472,1
79,6.66794776917,1
80,6.71611881256,1
81,6.77616882324,1
82,6.82400083542,1
83,6.87623977661,1
84,6.92821788788,1
85,6.96808695793,1
86,7.00858998299,1
87,7.06771492958,1
88,7.10883593559,1
89,7.164249897,1
90,7.20431685448,1
91,7.23521995544,1
92,7.28057479858,1
93,7.32021188736,1
94,7.3719689846,1
95,7.44048595428,1
101,9.49779081345,0
102,9.54526376724,0
103,9.58545780182,0
104,9.62994885445,0
105,9.6618938446,0
106,9.72373700142,0
107,9.771504879,0
108,9.81695795059,0
109,9.85154986382,0
110,9.89955496788,0
150,10.0017988682,3
151,10.0126948357,3
152,10.0600249767,3
153,10.1043307781,3
154,10.1680419445,3
155,10.2281038761,3
156,10.2880818844,3
157,10.3239498138,3
158,10.3845188618,3
159,10.4329319,3
160,10.474601984,3
161,10.5319149494,3
162,10.5827307701,3
163,10.6305849552,3
164,10.6725418568,3
165,10.7325618267,3
166,10.7722668648,3
167,10.821048975,3
168,10.8602848053,3
169,10.9096848965,3
170,10.9520878792,3
171,11.000248909,3
172,11.045814991,3
173,11.1070199013,3
174,11.1678447723,3
175,11.2083239555,3
176,11.2726268768,3
177,11.3300747871,3
178,11.366617918,3
179,11.4026949406,3
180,11.4584739208,1
181,11.5185508728,1
182,11.5552659035,1
183,11.599178791,1
184,11.6378538609,1
185,11.6751139164,1
186,11.7261898518,1
187,11.7838699818,1
188,11.8240249157,1
189,11.8679299355,1
190,11.9237239361,1
191,11.9767189026,1
192,12.0201609135,1
193,12.0835127831,1
194,12.1483178139,1
195,12.20835495,1
196,12.2521958351,1
197,12.3201777935,1
198,12.3594229221,1
199,12.4067108631,1
200,12.4520509243,1
201,12.4963879585,1
202,12.536249876,1
203,12.6003248692,1
204,12.6643259525,1
205,12.7071847916,1
206,12.7476937771,3
207,12.79494977,3
208,12.8351039886,3
209,12.8911218643,3
210,12.9232058525,3
211,12.9672379494,3
212,13.0286209583,3
213,13.0681438446,3
214,13.1107909679,3
215,13.1740758419,3
216,13.2121129036,3
217,13.2566809654,3
218,13.3044219017,3
219,13.3401658535,3
220,13.4075567722,3
221,13.4565198421,3
222,13.5081169605,3
223,13.5522398949,3
224,13.5999729633,3
225,13.6392989159,3
226,13.6916627884,3
227,13.7472379208,3
228,13.7914578915,3
229,13.8353579044,3
230,13.8798959255,3
231,13.9111549854,3
232,13.9795069695,3
233,14.0361859798,3
234,14.0964338779,1
235,14.1405119896,1
236,14.1893007755,1
237,14.220099926,1
238,14.300205946,1
239,14.3646287918,1
240,14.4040927887,1
241,14.4670119286,1
242,14.5039877892,1
243,14.5520818233,1
244,14.6042668819,1
245,14.6878669262,1
246,14.7512049675,1
247,14.7993969917,1
248,14.8473539352,1
249,14.891261816,1
250,14.9434638023,1
251,15.0196089745,1
252,15.083701849,1
253,15.1451938152,1
254,15.2404789925,3
255,15.2435419559,3
256,15.2954909801,3
257,15.348484993,3
258,15.4343278408,3
259,15.4744257927,3
260,15.5353779793,3
261,15.60744977,3
262,15.6613898277,3
263,15.7157678604,3
264,15.7593457699,3
265,15.7912259102,3
275,16.0297088623,3
276,16.0931088924,3
277,16.136125803,3
278,16.1773409843,3
279,16.2281169891,3
280,16.2851188183,3
281,16.3526098728,1
282,16.3800909519,1
283,16.4212608337,1
284,16.4645318985,1
285,16.5319259167,1
286,16.5839838982,1
287,16.6387989521,1
288,16.7080638409,1
289,16.7442069054,1
290,16.7841658592,1
291,16.8492648602,1
292,16.9119799137,1
293,16.9727289677,1
294,17.0281379223,1
295,17.0850408077,1
296,17.1402008533,1
297,17.2039408684,1
298,17.2292997837,1
299,17.2763369083,1
300,17.3240408897,1
301,17.3720588684,1
302,17.4284799099,1
303,17.4974358082,1
304,19.5699329376,0
305,19.6104669571,0
306,19.6553518772,0
307,19.7002639771,0
308,19.7475838661,0
309,19.7995707989,0
310,19.8441028595,0
311,19.9075729847,0
312,19.9557478428,0
313,20.0199887753,0
314,20.0875380039,0
360,20.1592018604,3
361,20.2040188313,3
362,20.2641298771,3
363,20.3017098904,3
364,20.3317449093,3
365,20.4005317688,3
366,20.4320788383,3
367,20.4681220055,3
368,20.5006678104,3
369,20.5585818291,3
370,20.5907869339,3
371,20.6303119659,3
372,20.6910159588,3
373,20.7350177765,3
374,20.7844519615,3
375,20.8359959126,3
376,20.8841359615,3
377,20.9240648746,3
378,20.9722809792,3
379,21.0162968636,3
380,21.0759189129,3
381,21.1158809662,3
382,21.1617310047,3
383,21.2218987942,1
384,21.2442348003,1
385,21.2921078205,1
386,21.3319327831,1
387,21.3761568069,1
388,21.4228539467,1
389,21.4817168713,1
390,21.5278358459,1
391,21.5945959091,1
392,21.6390218735,1
393,21.691947937,1
