PacketSeqNo,ArrivalTime,MulticastIdx
1,5.86009788513,1
2,5.90767407417,1
3,5.95953702927,1
4,6.01954197884,1
5,6.0637280941,1
6,6.11564803123,1
7,6.16818094254,1
8,6.19959187508,1
9,6.23249602318,1
10,6.27146792412,1
11,6.31744599342,1
12,6.35350203514,1
13,6.38907504082,1
14,6.42751407623,1
15,6.47294092178,1
16,6.51965594292,1
17,6.56357693672,1
18,6.60338997841,1
19,6.64760303497,1
20,6.69149398804,1
21,6.72371792793,1
22,6.77151799202,1
23,6.80344200134,1
24,6.87875795364,1
25,6.92723608017,1
26,6.96749901772,1
27,7.01150488853,1
28,7.04356193542,1
29,7.08374905586,1
30,7.12781310081,1
31,7.18745493889,1
32,7.22018289566,1
33,7.2675409317,1
34,7.30340600014,1
35,7.34359502792,1
36,7.37574696541,1
37,7.411495924,1
38,7.45176196098,1
39,7.48346209526,1
40,7.52744007111,1
41,7.591837883,3
42,7.60353589058,3
43,7.63532805443,3
44,7.66756892204,3
45,7.70430207253,3
46,7.74762606621,3
47,7.7954659462,3
48,7.83548688889,3
49,7.87588906288,3
50,7.92419099808,3
51,7.97175002098,3
52,8.00361895561,3
53,8.05608391762,3
54,8.09571504593,3
55,8.13960003853,3
56,8.18768596649,3
57,8.21999692917,3
58,8.25971889496,3
59,8.3120200634,3
60,8.3515329361,3
61,8.3836081028,3
62,8.44371604919,3
63,8.48375201225,3
64,8.53983092308,1
65,8.56746387482,1
66,8.603703022,1
67,8.65158295631,1
68,8.70019292831,1
69,8.74118709564,1
70,8.78396606445,1
71,8.8232820034,1
72,8.8631529808,1
73,8.90751695633,1
74,8.93956494331,1
75,8.97555589676,1
76,9.0160150528,1
77,9.05594491959,1
78,9.10418009758,1
79,9.13543987274,1
80,9.18369293213,1
81,9.23164606094,1
82,9.26374602318,1
83,9.29593992233,1
84,9.32854294777,1
85,9.36121487617,1
86,9.39205002785,1
87,9.42363595963,1
88,9.47992801666,1
89,9.5275580883,1
90,9.55959486961,1
91,9.60736393929,1
92,9.64332199097,1
93,9.68713402748,3
94,9.7458729744,3
95,9.78002595901,3
96,9.8116300106,3
97,9.84366393089,3
98,9.87560486794,3
99,9.9156908989,3
100,9.94748187065,3
101,9.97942209244,3
102,10.0114660263,3
103,10.0595948696,3
104,10.0999040604,3
105,10.1396269798,3
106,10.1757800579,3
107,10.2155559063,3
108,10.2676489353,3
109,10.3077459335,3
110,10.339715004,3
111,10.3717529774,3
112,10.4035229683,3
113,10.4401669502,3
114,10.4796769619,3
115,10.5438780785,1
116,10.5677449703,1
117,10.6076450348,1
118,10.6439580917,1
119,10.6955718994,1
120,10.7291810513,1
121,10.7757360935,1
122,10.8199570179,1
123,10.8702991009,1
124,10.9115619659,1
125,10.9475989342,1
126,10.9796628952,1
127,11.0116848946,1
128,11.0561079979,1
129,11.0956380367,1
130,11.1275649071,1
131,11.1602370739,1
132,11.1955878735,1
133,11.2553720474,1
134,11.2956750393,1
135,11.3289330006,1
136,11.3643040657,1
137,11.4075689316,1
138,11.4475600719,1
139,11.483579874,1
140,11.531473875,1
141,11.5915858746,1
142,11.623488903,1
143,11.6634640694,1
144,11.7161240578,1
145,23.783698082,2
146,23.8155078888,2
147,23.8563430309,2
148,23.8916389942,2
149,23.9400410652,2
150,23.9835429192,2
151,24.0196120739,2
152,24.0636630058,2
153,24.1075439453,2
154,24.1477680206,2
155,24.1996769905,2
156,24.2555379868,2
157,24.3114979267,2
158,24.3560230732,2
159,24.3871979713,2
160,24.4277050495,2
161,24.4675309658,2
162,24.516078949,2
163,24.577671051,2
164,24.6461589336,2
165,24.6969149113,2
166,24.7514469624,2
167,24.8001248837,2
168,24.8475539684,2
169,24.8878040314,2
170,24.9316270351,2
171,24.9958178997,0
172,25.0235519409,0
173,25.0717680454,0
174,25.1238110065,0
175,25.1636240482,0
176,25.2200000286,0
177,25.2674040794,0
178,25.3116259575,0
179,25.3591120243,0
180,25.4034690857,0
181,25.4473619461,0
182,25.4964199066,0
183,25.5314080715,0
184,25.5959150791,0
185,25.6321029663,0
186,25.6714980602,0
187,25.7243468761,0
188,25.7836539745,0
189,25.8236069679,0
190,25.8716740608,0
191,25.927478075,0
192,25.9598419666,0
193,26.0035290718,0
194,26.0559689999,0
195,26.0954630375,0
196,26.1395640373,0
197,26.203979969,0
198,26.2436769009,0
199,26.2834830284,0
200,26.3317239285,2
201,26.3674869537,2
202,26.4232389927,2
203,26.4600300789,2
204,26.5035369396,2
205,26.5513489246,2
