PacketSeqNo,ArrivalTime,MulticastIdx
1,0.00197505950928,10.9950120449,1
2,0.104749917984,11.0956099033,1
3,0.206959962845,11.1985199451,1
4,0.309453010559,11.3013329506,1
5,0.413233995438,11.4046618938,1
6,0.516102075577,11.5079278946,1
7,0.619309902191,11.6094100475,1
8,0.722794055939,11.7148799896,1
9,0.825302124023,11.8145930767,1
10,0.927837133408,11.9264800549,1
11,1.03202009201,12.0246889591,1
12,1.13432693481,12.1324369907,1
13,1.23680591583,12.2276859283,1
14,1.33912801743,12.3310320377,1
15,1.44166612625,12.4325799942,1
16,1.54426503181,12.5368559361,1
17,1.647315979,12.6393170357,1
18,1.74962306023,12.7405469418,1
19,1.85188102722,12.8428421021,1
20,1.95426893234,12.9450860023,1
21,2.0568459034,13.0494379997,1
22,2.15999412537,13.1522278786,1
23,2.2637591362,13.2571909428,1
24,2.3669090271,13.3578140736,1
25,2.4695661068,13.4608340263,1
26,2.57248711586,13.5638179779,1
27,2.67492294312,13.66781497,1
28,2.77761697769,13.7721729279,1
29,2.8805270195,13.8726620674,3
30,2.98527693748,13.9802920818,3
31,3.0878200531,14.0791759491,3
32,3.19024395943,14.1814010143,3
33,3.29286313057,14.2833709717,3
34,3.39561295509,14.3861749172,3
35,3.49867010117,14.4910900593,3
36,3.60208296776,14.5915188789,3
37,3.70463490486,14.6953699589,3
38,3.80682492256,14.7997279167,3
39,3.90952205658,14.9020190239,3
40,4.01254200935,15.0063359737,3
41,4.11583900452,15.1096088886,3
42,4.2181019783,15.2090239525,3
43,4.32052993774,15.3113970757,3
44,4.42299795151,15.41603899,3
45,4.52557706833,15.5165810585,3
46,4.62897801399,15.6207869053,3
47,4.73185992241,15.7246520519,3
48,4.83441901207,15.8245630264,3
49,4.93694090843,15.9283020496,3
50,5.03912591934,16.0304698944,3
51,5.14184403419,16.1332879066,3
52,5.24544000626,16.2375180721,3
53,5.34902310371,16.3425118923,3
54,5.4518840313,16.4426040649,3
55,5.5546309948,16.5477559566,3
56,5.65750598907,16.6507279873,3
57,5.76067113876,16.7549130917,3
58,5.86328792572,16.8543419838,3
59,5.9659640789,16.9578280449,3
60,6.06865692139,17.059415102,3
61,6.17164492607,17.1620650291,3
62,6.27460503578,17.2657880783,3
63,6.37738204002,17.3699018955,3
64,6.47991895676,17.4753530025,3
65,6.58293199539,17.576100111,3
66,6.68592309952,17.679265976,3
67,6.78870010376,17.7797579765,3
68,6.89127707481,17.8822460175,3
69,6.99384999275,17.984910965,3
70,7.09652900696,18.0905680656,3
71,7.19904613495,18.1917290688,3
72,7.30319094658,18.2965450287,3
73,7.40595698357,18.3978099823,3
74,7.50902295113,18.5014870167,3
75,7.61165595055,18.6013588905,3
76,7.71437501907,18.7053771019,3
77,7.81675505638,18.8085980415,3
78,7.91920399666,18.9110090733,3
79,8.02203893661,19.0130479336,3
80,8.12455797195,19.1157031059,3
81,8.2276289463,19.220582962,3
82,8.33043813705,19.3238770962,1
83,8.43353009224,19.4242010117,1
84,8.53602600098,19.5300478935,1
85,8.63990902901,19.6313979626,1
86,8.74287390709,19.736645937,1
87,8.84564113617,19.8381569386,1
88,8.9487349987,19.9409480095,1
89,9.05180191994,20.0432999134,1
90,9.15432310104,20.1467568874,1
91,9.2577381134,20.2497019768,1
92,9.36033606529,20.3529748917,1
93,9.463078022,20.4565739632,1
94,9.56654191017,20.5575270653,1
