PacketSeqNo,ArrivalTime,MulticastIdx
127,110.624198914,2
128,110.668076992,2
129,110.712640047,2
130,110.744072914,2
131,110.780099869,2
132,110.812030077,2
133,110.85196805,2
134,110.89603591,2
135,110.940268993,2
136,110.993373871,0
137,111.024237871,0
138,111.084518909,0
139,111.116116047,0
140,111.156172037,0
141,111.188040972,0
142,111.228338003,0
143,111.276226997,0
144,111.319979906,0
145,111.372110844,0
146,111.412025928,0
147,111.452342033,0
148,111.492959976,0
149,111.531987906,0
150,111.581043005,0
151,111.616034985,0
152,111.655870914,0
153,111.688026905,0
154,111.732147932,0
155,111.776139975,0
156,141.849225044,3
157,141.912199974,3
158,141.947973013,3
159,141.984518051,3
160,142.031921864,3
161,142.080251932,3
162,142.120311022,3
163,142.15597105,3
164,142.200478077,3
165,142.244194031,3
166,142.280194044,3
167,142.331945896,3
168,142.367905855,3
169,142.416723013,3
170,142.480041981,3
171,142.520485878,3
172,142.556149006,3
173,142.604389906,3
174,142.640148878,3
175,142.688348055,3
176,142.727933884,3
177,142.804219007,1
178,142.805752993,1
179,142.844218969,1
180,142.884161949,1
181,142.915921926,1
182,142.964838982,1
183,143.004188061,1
184,143.048012018,1
185,143.091981888,1
186,143.132089853,1
187,143.172132015,1
188,143.219933987,1
189,143.260541916,1
190,143.304084063,1
191,143.348680973,1
192,143.388252974,1
193,143.440237999,1
194,143.49216485,1
195,143.544185877,1
196,143.588381052,1
197,143.632494926,1
198,143.672157049,1
199,143.720716953,1
200,143.760375023,1
201,143.820195913,1
202,143.8613379,1
203,143.90022397,1
204,143.936229944,1
205,174.032475948,2
206,174.068140984,2
207,174.108001947,2
208,174.148067951,2
209,174.19758606,2
210,174.23210907,2
211,174.283249855,2
212,174.356241941,2
213,174.400249958,2
214,174.436147928,2
215,174.484241009,2
216,174.516162872,2
217,174.560312986,2
218,174.616050959,2
219,174.660153866,2
220,174.71292901,2
221,174.762266874,2
222,174.817692041,2
223,174.856064081,2
224,174.892042875,2
225,174.931830883,2
226,174.984058857,2
227,175.02836895,2
228,175.071848869,2
229,175.112376928,2
230,175.151825905,2
231,175.195925951,2
232,175.248050928,2
233,175.292343855,2
234,175.327924967,2
235,175.384301901,0
236,175.40408206,0
237,175.44405508,0
238,175.492496014,0
239,175.547940016,0
240,175.597625017,0
241,175.642068863,0
242,175.684071064,0
243,175.746021032,0
244,175.788481951,0
245,175.83406496,0
246,175.893429041,0
247,175.928529024,0
248,175.976202965,0
249,176.016169071,0
250,176.068389893,0
251,176.115875959,0
252,176.160456896,0
253,176.208243847,0
254,176.256072044,0
255,176.307896852,0
256,176.353008986,0
257,176.4085989,0
258,176.459918976,0
259,206.539718866,3
260,206.592407942,3
261,206.652642965,3
262,206.696352959,3
263,206.728080988,3
264,206.78807497,3
265,206.82840991,3
266,206.880213022,3
267,206.924300909,3
268,207.00030899,3
269,207.057966948,3
270,207.108249903,3
271,207.170434952,3
272,207.204340935,3
273,207.248208046,3
274,207.284240007,3
275,207.336143017,3
276,207.380398035,3
277,207.424141884,3
278,207.472164869,3
279,207.51590991,3
280,207.558383942,3
281,207.624012947,3
282,207.664999008,3
283,207.719966888,3
284,207.756949902,3
285,207.796220064,3
286,207.844261885,3
287,207.904031038,3
288,207.957015991,3
289,208.016227007,1
290,208.059934855,1
291,208.101197958,1
292,208.140089035,1
293,208.180171013,1
294,208.225178003,1
295,208.271918058,1
296,208.328280926,1
297,208.379839897,1
298,208.420351028,1
299,208.451714993,1
300,208.484004974,1
301,208.531058073,1
302,208.580141068,1
303,208.632535934,1
304,208.687962055,1
305,208.727943897,1
306,208.784118891,1
307,208.820448875,1
308,208.872772932,1
309,208.93602705,1
310,208.968137026,1
311,209.009150982,1
312,209.06420207,1
313,209.11618185,1
314,209.188184977,3
315,209.216809988,3
