PacketSeqNo,ArrivalTime,MulticastIdx
1,10.9080929756,1
2,10.9674921036,1
3,11.0275259018,1
4,11.0845689774,1
5,11.1325609684,1
6,11.1762509346,1
7,11.2244839668,1
8,11.280987978,1
9,11.3402569294,1
10,11.3882830143,1
11,11.4445769787,1
12,11.4850709438,1
13,11.5336499214,1
14,11.5692019463,1
15,11.6129450798,1
16,11.645471096,1
17,11.6849088669,1
18,11.7284018993,1
19,11.7641088963,1
20,11.814250946,1
21,11.8529090881,1
22,11.8928699493,1
23,11.9328219891,1
24,12.0082221031,1
25,12.0438640118,1
26,12.0848600864,1
27,12.136482954,1
28,12.1887710094,1
29,12.2328119278,1
30,12.2726550102,1
31,12.3167788982,1
32,12.3611550331,1
33,12.3971529007,1
34,12.4450750351,1
35,14.5042910576,0
36,14.5442109108,0
37,14.5878469944,0
38,14.6282808781,0
39,14.6879460812,0
40,14.7814180851,2
41,14.7845830917,2
42,14.8486740589,2
43,14.888655901,2
44,14.9405670166,2
45,14.9723260403,2
46,15.0201869011,2
47,15.0565850735,2
48,15.1072170734,2
49,15.160556078,2
50,15.2467410564,2
51,15.3162379265,2
52,15.3881900311,2
53,15.436177969,2
54,15.4801700115,2
55,15.5286819935,2
56,15.5772058964,2
57,15.6284980774,2
58,15.6727659702,2
59,15.7242178917,2
60,15.7805409431,2
61,15.8328580856,2
62,15.8693881035,2
63,15.929432869,2
64,15.980962038,2
65,16.0492300987,0
66,16.0823559761,0
67,16.1236438751,0
68,16.197040081,0
69,16.2443110943,0
70,16.3003499508,0
71,16.3605749607,0
72,16.4047029018,0
73,16.4682199955,0
74,16.5248689651,0
75,16.5803790092,0
76,16.6247560978,0
77,16.7404980659,0
78,16.7644701004,0
79,16.8172369003,0
80,16.8837590218,0
81,16.9296519756,0
82,16.984292984,0
83,17.0289149284,0
84,17.0838310719,0
85,17.1431288719,0
86,17.1871180534,0
87,17.2492358685,0
88,17.304265976,0
89,17.3852989674,2
90,17.4201359749,2
91,17.4708271027,2
92,17.5189259052,2
93,17.5516500473,2
94,17.6030390263,2
95,17.6604418755,2
96,17.7198150158,2
97,17.7801020145,2
98,17.8284869194,2
99,17.8727610111,2
100,17.9332580566,2
101,17.9644589424,2
102,18.0253479481,2
103,18.0676910877,2
104,18.1270360947,2
105,18.1759910583,2
106,18.2320160866,2
107,18.2804510593,2
108,18.3521640301,2
109,18.3961238861,2
110,18.438544035,2
111,18.4951200485,2
112,18.5675160885,0
113,18.5988459587,0
114,18.6599838734,0
115,18.7038960457,0
116,18.7754480839,0
117,18.8404960632,0
118,18.889966011,0
119,18.9512250423,0
120,18.999945879,0
121,19.06813097,0
122,19.1229109764,0
123,19.1837089062,0
124,19.240062952,0
125,19.288269043,0
126,19.3598380089,0
127,19.4116470814,0
128,19.4557199478,0
129,19.4961149693,0
130,19.5441110134,0
131,19.6046609879,0
132,19.6762769222,0
133,19.720140934,0
134,19.8253309727,2
135,19.8277618885,2
136,19.8811190128,2
137,19.9314949512,2
138,19.9719350338,2
139,20.0132679939,2
140,20.0643620491,2
141,20.1152288914,2
142,20.1702179909,2
143,20.2313210964,2
144,20.3040449619,2
145,20.3556580544,2
146,20.4121088982,2
147,20.4774720669,2
148,20.5356009007,2
149,20.5844519138,2
150,20.6321558952,2
151,20.7002029419,2
152,20.7480080128,2
153,20.8000450134,2
154,20.8644220829,2
155,20.9086060524,2
156,20.9733960629,0
157,21.008341074,0
158,21.060115099,0
159,21.1132059097,0
160,21.168159008,0
161,21.2369799614,0
162,21.288269043,0
163,21.3438580036,0
164,21.4087178707,0
165,21.4601330757,0
166,21.5207350254,0
167,21.5798649788,0
168,21.6284060478,0
169,21.6601800919,0
170,21.7121920586,0
171,21.7521800995,0
172,21.782957077,0
173,21.8409240246,0
174,21.8882339001,0
175,21.9280230999,0
176,21.9885270596,2
177,22.0365390778,2
178,22.0763750076,2
179,22.1419789791,2
180,22.1881020069,2
181,22.2359158993,2
182,22.3005340099,2
183,22.3601930141,2
184,22.4160709381,2
185,22.4645578861,2
186,22.5078370571,2
187,22.5483939648,2
188,22.6003360748,2
189,22.6522839069,2
190,22.7240109444,2
191,22.7846150398,2
192,22.8615279198,2
193,22.9085080624,2
194,22.9562990665,2
195,23.0123140812,2
196,23.0602769852,2
197,23.1085760593,2
198,23.1484639645,2
199,23.1882510185,2
200,23.2526950836,2
201,23.3206839561,2
202,23.3804459572,2
203,23.4363439083,2
204,23.4762020111,2
205,23.5813660622,0
206,23.5841569901,0
207,23.6164848804,0
208,23.6523170471,0
209,23.7126300335,0
210,23.7591218948,0
211,23.8125929832,0
212,23.8648219109,0
213,23.9322578907,0
214,23.9800779819,0
215,24.031979084,0
216,24.0924658775,0
217,24.1644289494,0
218,24.2160859108,0
219,24.2640240192,0
220,24.3241140842,0
221,24.3718080521,0
222,24.4279239178,0
223,24.4647519588,0
224,24.5238480568,0
225,24.5853369236,0
290,24.6944799423,3
291,24.7204051018,3
292,24.7843859196,3
293,24.8335499763,3
294,24.8809089661,3
295,24.9329650402,3
296,25.0213599205,3
297,25.0659759045,3
298,25.1097590923,3
299,25.1370460987,3
300,25.1850790977,3
301,25.2454800606,3
302,25.2975580692,3
303,25.3524210453,3
304,25.4168879986,3
305,25.469078064,3
306,25.5208570957,3
307,25.5568079948,3
308,25.6010348797,3
309,25.6411468983,3
310,25.6728439331,3
311,25.7213618755,3
312,25.7809689045,3
313,25.8043549061,3
314,25.853566885,3
315,25.905632019,3
316,25.9580700397,3
317,26.0168149471,3
318,26.0916080475,3
319,26.157294035,1
320,26.1977760792,1
321,26.2456760406,1
322,26.3089020252,1
323,26.3725020885,1
324,26.4133350849,1
325,26.465075016,1
326,26.5251588821,1
327,26.5456309319,1
328,26.6115119457,1
329,26.6455450058,1
330,26.7166090012,1
331,26.7653250694,1
332,26.8167040348,1
333,26.8725628853,1
334,26.9208450317,1
335,26.9690740108,1
336,27.0211310387,1
337,27.0605740547,1
338,27.1212949753,1
339,27.1724290848,1
340,27.2290999889,1
341,27.2966001034,3
342,27.3529860973,3
343,27.405121088,3
344,27.4568948746,3
345,27.5085680485,3
346,27.5407500267,3
347,27.6055099964,3
348,27.6646549702,3
349,27.7131259441,3
350,27.7770309448,3
351,27.8215749264,3
352,27.866204977,3
353,27.9213449955,3
354,27.9572200775,3
355,28.0134749413,3
356,28.0573170185,3
357,28.1151239872,3
358,28.1597518921,3
359,28.2125520706,3
360,28.253360033,3
361,28.3126890659,3
362,28.3741669655,3
363,28.442414999,1
364,28.4635329247,1
365,28.5193200111,1
366,28.5721480846,1
367,28.6162919998,1
368,28.6606118679,1
369,28.6810441017,1
370,28.7406508923,1
371,28.8093109131,1
372,28.8412458897,1
373,28.8890120983,1
374,28.9414520264,1
375,28.9979960918,1
376,29.0452449322,1
377,29.0889670849,1
378,29.1371490955,1
379,29.1930060387,1
380,29.2407500744,1
381,29.2972350121,1
382,29.3489758968,1
383,29.4171741009,1
384,29.4822340012,1
385,29.5167438984,1
386,29.5730810165,1
387,29.6211810112,1
388,29.6767179966,1
389,29.7214419842,1
390,29.7719299793,1
391,29.8175010681,1
392,29.8638460636,3
393,29.9086329937,3
394,29.9559159279,3
395,29.9889280796,3
396,30.0409750938,3
397,30.0896379948,3
398,30.1353778839,3
399,30.1796190739,3
400,30.2406709194,3
401,30.2850520611,3
402,30.332556963,3
403,30.3887829781,3
404,30.4444880486,3
405,30.500772953,3
406,30.5490438938,3
407,30.5968129635,3
408,30.6291189194,3
409,30.7010529041,3
410,30.7531340122,3
411,30.7966430187,3
412,30.8402578831,3
413,30.9014799595,3
414,30.9449360371,3
415,31.0208148956,3
416,31.076253891,3
417,31.1236178875,3
418,31.1794519424,3
419,31.2385189533,3
420,31.3028130531,1
421,31.3449649811,1
422,31.4207909107,1
423,31.4849510193,1
424,31.544727087,1
425,31.606251955,1
426,31.6379649639,1
427,31.6687920094,1
428,31.7532398701,1
429,31.7990338802,1
430,31.853703022,1
431,31.9056608677,1
432,31.9569430351,1
433,32.008701086,1
434,32.0568640232,1
435,32.1043899059,1
436,32.1478319168,1
437,32.1889920235,1
438,32.2364618778,1
439,32.3079280853,1
440,32.3598248959,1
441,32.4155580997,1
370,32.4763939381,2
371,32.4772861004,2
372,32.5191450119,2
373,32.568418026,2
374,32.6167480946,2
375,32.6719660759,2
376,32.7122008801,2
377,32.7563500404,2
378,32.8081228733,2
379,32.8399660587,2
380,32.8964169025,2
381,32.9640750885,2
382,33.0079600811,2
383,33.0322840214,2
384,33.1130189896,2
385,33.1603119373,2
386,33.2170009613,2
387,33.2783849239,2
388,33.326529026,2
389,33.3702540398,2
390,33.4510080814,2
391,33.5029220581,2
392,33.552546978,2
393,33.6042850018,2
394,33.6444940567,2
395,33.6882228851,2
396,33.7322108746,2
