PacketSeqNo,ArrivalTime,MulticastIdx
1,0.00198101997375,5.5581870079,1
2,0.104596853256,5.65960407257,1
3,0.207571983337,5.76268315315,1
4,0.309651851654,5.86591315269,1
5,0.412305831909,5.96773815155,1
6,0.514660835266,6.06881809235,1
7,0.617184877396,6.17179012299,1
8,0.719957828522,6.27639698982,1
9,0.822554826736,6.37815403938,1
10,0.925208806992,6.48358511925,1
11,1.03046488762,6.58470606804,1
12,1.13291287422,6.68772315979,1
13,1.23579788208,6.79038405418,1
14,1.33824801445,6.89257311821,1
15,1.4408519268,6.99749422073,1
16,1.54368495941,7.09926319122,1
17,1.64712882042,7.20332217216,1
18,1.74980998039,7.30541300774,1
19,1.85218787193,7.40901017189,1
20,1.95436191559,7.51027917862,1
21,2.05725383759,7.61339020729,1
22,2.16003799438,7.71520400047,1
23,2.26274490356,7.81818699837,1
24,2.36580681801,7.92113614082,1
25,2.46928691864,8.02388000488,1
26,2.57216286659,8.12704610825,1
27,2.67516303062,8.2296731472,1
28,2.77809691429,8.33318805695,1
29,2.88128590584,8.43584299088,1
30,2.98401999474,8.53890299797,1
31,3.08643102646,8.64141821861,3
32,3.18934082985,8.7438352108,3
33,3.2923989296,8.84746217728,3
34,3.39517188072,8.95067405701,3
35,3.49828600883,9.05353307724,3
36,3.60148286819,9.15550708771,3
37,3.70431685448,9.25930309296,3
38,3.80714392662,9.36243915558,3
39,3.91033983231,9.46531701088,3
40,4.0138669014,9.56932401657,3
41,4.11704897881,9.67374515533,3
42,4.21969079971,9.77408504486,3
43,4.32211780548,9.87694215775,3
44,4.42452287674,9.97993516922,3
45,4.52684903145,10.0830421448,3
46,4.6299598217,10.184648037,3
47,4.73284292221,10.2881741524,3
48,4.83602499962,10.3902411461,3
49,4.93946099281,10.4941830635,3
50,5.04190683365,10.5973989964,3
51,5.14413285255,10.6980872154,3
52,5.24611783028,10.8010230064,3
53,5.34928297997,10.903231144,3
54,5.45118498802,11.0057091713,3
55,5.55310201645,11.1085090637,3
56,5.65569186211,11.2118110657,3
57,5.7583220005,11.313090086,3
58,5.8603579998,11.4155421257,3
59,5.9625248909,11.5176501274,3
60,6.0644288063,11.618283987,3
61,6.16623091698,11.7210299969,3
62,6.26814889908,11.822329998,3
63,6.37033390999,11.9262890816,3
64,6.47368383408,12.0287811756,3
65,6.57608890533,12.1315832138,3
66,6.67795681953,12.2326030731,3
67,6.78005886078,12.3347630501,3
68,6.88183879852,12.4374611378,3
69,6.98350286484,12.5395030975,3
70,7.08571887016,12.6398570538,3
71,7.18884992599,12.7441980839,3
72,7.29150295258,12.8456530571,3
73,7.39326190948,12.9478440285,3
74,7.49520802498,13.0514440536,3
75,7.59721493721,13.1516342163,3
76,7.69908595085,13.2542312145,3
77,7.80159687996,13.3554301262,3
78,7.90380001068,13.4598631859,3
79,8.00686502457,13.5615119934,3
80,8.10873103142,13.6630911827,3
81,8.21067595482,13.7652471066,3
82,8.3123588562,13.8672630787,3
83,8.41449785233,13.9701211452,3
84,8.5166888237,14.0725450516,3
85,8.61848688126,14.1737751961,3
86,8.72067379951,14.276512146,3
87,8.82340192795,14.3773281574,3
88,8.9254219532,14.4809811115,3
89,9.02760481834,14.5826740265,3
90,9.12927985191,14.6840910912,3
91,9.23174881935,14.7880589962,3
92,9.33360600471,14.8878991604,3
93,9.43535494804,14.9894711971,3
94,9.5373468399,15.092315197,3
95,9.64007592201,15.1941831112,3
96,9.74235987663,15.2970840931,3
97,9.84494185448,15.4011881351,3
98,9.94694685936,15.5017302036,3
99,10.0493090153,15.6041920185,3
100,10.1511809826,15.7061240673,3
101,10.2530658245,15.8071331978,3
102,10.3548419476,15.9105420113,3
