PacketSeqNo,GeneratingTime,ArrivalTime,MulticastIdx
1,0.00194811820984,10.2557578087,1
2,0.0139141082764,10.271791935,1
3,0.0263230800629,10.280397892,1
4,0.0386171340942,10.2967438698,1
5,0.0514490604401,10.3077869415,1
6,0.0636169910431,10.3175089359,1
7,0.0756471157074,10.3292579651,1
8,0.0876631736755,10.3412339687,1
9,0.0999701023102,10.3556768894,1
10,0.114260196686,10.3685920238,1
11,0.128098964691,10.3831498623,1
12,0.140391111374,10.3975260258,1
13,0.152412176132,10.4057779312,1
14,0.164417982101,10.4177589417,1
15,0.176541090012,10.4308848381,1
16,0.18884396553,10.4617118835,1
17,0.219604969025,10.4748439789,1
18,0.231420040131,10.4870378971,1
19,0.24386715889,10.4971690178,1
20,0.256043195724,10.5114078522,1
21,0.268177032471,10.5216679573,1
22,0.280605077744,10.5347540379,1
23,0.292963027954,10.5497069359,1
24,0.308990001678,10.5624220371,1
25,0.321325063705,10.5742578506,1
26,0.332890033722,10.5857439041,1
27,0.344496965408,10.5980029106,1
28,0.356176137924,10.6095039845,1
29,0.367797136307,10.6208260059,1
30,0.379842996597,10.6342248917,1
31,0.392230987549,10.6461849213,1
32,0.404428005219,10.6579158306,1
33,0.416650056839,10.6701660156,1
34,0.429126024246,10.6824228764,1
35,0.442748069763,10.7004950047,1
36,0.456969976425,10.7095859051,1
37,0.468887090683,10.7232198715,1
38,0.481086015701,10.7337219715,1
39,0.492995977402,10.7465238571,1
40,0.505128145218,10.7594349384,1
41,0.516945123672,10.7712888718,1
42,0.530217170715,10.7832770348,3
43,0.542281150818,10.7955329418,3
44,0.554563045502,10.807723999,3
45,0.566802978516,10.8203389645,3
46,0.579322099686,10.8328130245,3
47,0.591783046722,10.846424818,3
48,0.604032039642,10.857323885,3
49,0.616242170334,10.8694388866,3
50,0.628370046616,10.8816859722,3
51,0.641267061234,10.8965699673,3
52,0.655663967133,10.9176719189,3
53,0.668884038925,10.9229009151,3
54,0.681082963943,10.9339330196,3
55,0.693891048431,10.949780941,3
56,0.706629037857,10.9601888657,3
57,0.718981981277,10.9740309715,3
58,0.731528997421,10.9878180027,3
59,0.743870973587,10.9965219498,3
60,0.756041049957,11.0087239742,3
61,0.768251180649,11.0226368904,3
62,0.780596971512,11.0379359722,3
63,0.793040037155,11.0478079319,3
64,0.805526971817,11.0590770245,3
65,0.817811965942,11.0741548538,3
66,0.83015704155,11.084002018,3
67,0.842475175858,11.0971908569,3
68,0.854698181152,11.1088118553,3
69,0.867024183273,11.1218569279,3
70,0.879609107971,11.1339068413,3
71,0.892158985138,11.146283865,3
72,0.90433216095,11.1636970043,3
73,0.916296005249,11.1731238365,3
74,0.927911996841,11.1808958054,3
75,0.93958902359,11.1938610077,3
76,0.953015089035,11.2073810101,3
77,0.965331077576,11.2195439339,3
78,0.977758169174,11.235667944,3
79,0.990226984024,11.2431738377,3
80,1.00257301331,11.2595639229,3
81,1.01526808739,11.2693760395,3
82,1.02770400047,11.2816708088,3
83,1.03987312317,11.2943198681,3
84,1.0523211956,11.3055558205,3
85,1.06455111504,11.3191418648,3
86,1.07677006721,11.3308889866,3
87,1.08902716637,11.3475840092,3
88,1.1018781662,11.3558900356,3
89,1.11421513557,11.3684530258,3
90,1.12649607658,11.3800549507,3
91,1.13890314102,11.3929188251,3
92,1.15145897865,11.4060080051,3
93,1.16360402107,11.4170668125,3
94,1.17608809471,11.4295949936,3
95,1.1884059906,11.4418928623,3
96,1.2009241581,11.457130909,3
97,1.21318912506,11.4691109657,3
98,1.22701096535,11.4808540344,1
99,1.23919606209,11.4926519394,1
100,1.2516579628,11.5051729679,1
101,1.2637360096,11.518625021,1
102,1.27595901489,11.5293068886,1
103,1.28818702698,11.5477750301,1
104,1.3003680706,11.5544829369,1
105,1.31250905991,11.5665929317,1
106,1.32490205765,11.5793139935,1
107,1.33706116676,11.5905048847,1
108,1.34923315048,11.6030828953,1
109,1.36141514778,11.6153099537,1
110,1.3734960556,11.6275799274,1
111,1.38575816154,11.6418559551,1
112,1.39864516258,11.6541059017,1
113,1.41128897667,11.6682989597,1
114,1.42344307899,11.6767208576,1
115,1.43572115898,11.6892979145,1
116,1.44801998138,11.7014899254,1
117,1.46006703377,11.7137889862,1
118,1.47244715691,11.7254889011,1
119,1.48462510109,11.7385349274,1
120,1.49690413475,11.7517299652,1
121,1.51414203644,11.7691879272,1
122,1.5258769989,11.779971838,1
123,1.53758502007,11.7950708866,1
124,1.54944205284,11.8028078079,1
125,1.5610370636,11.8144669533,1
126,1.57300901413,11.826292038,1
127,1.58519411087,11.8402659893,1
128,1.59761619568,11.8512558937,1
129,1.60996699333,11.8640630245,1
130,1.62271714211,11.8772900105,1
131,1.6355650425,11.8899688721,1
132,1.64772796631,11.901460886,1
133,1.65991210938,11.9132599831,1
134,1.67210102081,11.9257669449,1
135,1.68426418304,11.9400258064,1
136,1.69664216042,11.9505279064,1
137,1.7089600563,11.9692208767,1
138,1.72149896622,11.9746689796,1
139,1.73363900185,11.986992836,1
140,1.74581813812,11.9992330074,1
141,1.7581140995,12.0149738789,1
142,1.77100205421,12.0298788548,1
143,1.78331518173,12.0384609699,1
144,1.79557204247,12.0489778519,1
145,1.80787801743,12.0623698235,1
146,1.82000303268,12.0742518902,1
147,1.83211803436,12.0862629414,1
148,1.84521317482,12.1079280376,1
149,1.86096215248,12.1142439842,1
150,21.8849461079,32.1380119324,2
151,21.8969089985,32.149479866,2
152,21.9114379883,32.1637918949,2
153,21.9231491089,32.1818478107,2
154,21.934898138,32.1872608662,2
155,21.946696043,32.1995069981,2
156,21.9585859776,32.2111918926,2
157,21.9710230827,32.2232928276,2
158,21.9829421043,32.2374939919,2
159,21.9947049618,32.2475788593,2
160,22.0066010952,32.2598559856,2
161,22.0183091164,32.2702598572,2
162,22.0302770138,32.2828679085,2
163,22.0421261787,32.2943580151,2
164,22.0544440746,32.3077349663,2
165,22.0664300919,32.3188979626,2
166,22.0779981613,32.3302259445,2
167,22.0899910927,32.3431868553,2
168,22.1017990112,32.3550930023,2
169,22.1136100292,32.3667080402,2
170,22.1265010834,32.3793058395,2
171,22.1380300522,32.3904428482,2
172,22.1495389938,32.4030218124,2
173,22.1611809731,32.4142808914,2
174,22.172688961,32.42501688,2
175,22.1909849644,32.4435048103,2
176,22.2041180134,32.456389904,2
177,22.2160520554,32.4684288502,2
178,22.2280609608,32.4879670143,2
179,22.2400360107,32.4963109493,2
180,22.2538530827,32.5066549778,2
181,22.2658531666,32.5201439857,2
182,22.2774469852,32.5309679508,2
183,22.2890050411,32.5446259975,2
184,22.305768013,32.5589950085,2
185,22.3176541328,32.5766408443,2
186,22.3336901665,32.588711977,2
187,22.3454291821,32.5990028381,2
188,22.3585431576,32.6106238365,2
189,22.3701791763,32.6221759319,2
190,22.3816740513,32.6341538429,2
191,22.3945629597,32.6472029686,2
192,22.4066259861,32.6589570045,2
193,22.4186840057,32.6714849472,2
194,22.4313750267,32.6891038418,2
195,22.4451901913,32.6992228031,2
196,22.4573640823,32.7119679451,2
197,22.4691491127,32.7275438309,2
198,22.4809801579,32.7353699207,2
199,22.496598959,32.7500729561,2
200,22.5099101067,32.7628250122,0
201,22.5215401649,32.773900032,0
202,22.533105135,32.7861018181,0
203,22.5458860397,32.7981410027,0
204,22.5573561192,32.8099069595,0
205,22.5697891712,32.8247358799,0
206,22.5822250843,32.8344068527,0
207,22.5939199924,32.8459398746,0
208,22.6062750816,32.8590519428,0
209,22.6181900501,32.8729510307,0
210,22.6300191879,32.8830490112,0
211,22.6417450905,32.8936758041,0
212,22.6534371376,32.9061279297,0
213,22.665307045,32.9173870087,0
214,22.6768231392,32.929047823,0
215,22.6895079613,32.942512989,0
216,22.7013339996,32.9536528587,0
217,22.7135851383,32.9716658592,0
218,22.7255651951,32.9781088829,0
219,22.7375600338,32.9897639751,0
220,22.7494561672,33.001860857,0
221,22.7628471851,33.0150368214,0
222,22.77495718,33.02794981,0
223,22.7867250443,33.0385890007,0
224,22.7982370853,33.0502488613,0
225,22.8115031719,33.0634388924,0
226,22.824390173,33.076682806,0
227,22.8363101482,33.0894398689,0
228,22.8507330418,33.1036820412,0
229,22.8625020981,33.1144778728,0
230,22.8739869595,33.1262319088,0
231,22.8862481117,33.1393809319,0
232,22.8978180885,33.1545779705,0
233,22.9102370739,33.1630558968,0
234,22.9243860245,33.1769678593,0
235,22.9366121292,33.1890408993,0
236,22.9484381676,33.201004982,0
237,22.9599611759,33.2137448788,0
238,22.9714641571,33.2242999077,0
239,22.9834730625,33.2391309738,0
240,22.9961781502,33.2490940094,0
241,23.0078840256,33.2606768608,0
242,23.0205020905,33.2727668285,0
243,23.0323681831,33.2847938538,0
244,23.0445871353,33.2970428467,0
245,23.0580151081,33.3101038933,0
246,23.0702340603,33.3229529858,0
247,23.0838341713,33.3364858627,0
248,23.0957701206,33.3478398323,0
249,23.1092500687,33.361730814,0
250,23.1246800423,33.3768949509,0
251,23.1363511086,33.3882730007,0
252,23.1483430862,33.4013910294,0
253,23.160449028,33.4236588478,0
254,23.1720249653,33.4262108803,0
255,23.184401989,33.4367208481,0
256,23.1962561607,33.4490849972,0
257,23.2090270519,33.4618868828,0
258,23.2207891941,33.472910881,0
259,23.2325899601,33.4899070263,0
260,23.2471010685,33.5001368523,2
261,23.2620661259,33.5161659718,2
262,23.2747290134,33.5268349648,2
263,23.2866911888,33.5390198231,2
264,23.2986991405,33.5511889458,2
265,23.3110530376,33.5633690357,2
266,23.3231201172,33.5758428574,2
267,23.3350400925,33.5872008801,2
268,23.3469800949,33.5989730358,2
269,23.3588590622,33.6111898422,2
270,23.3706641197,33.6229908466,2
271,23.3830661774,33.6391608715,2
272,23.3947761059,33.6482520103,2
273,23.4084839821,33.6615619659,2
274,23.420317173,33.6756408215,2
275,23.4320251942,33.6841299534,2
276,23.4437921047,33.6995699406,2
277,23.4610061646,33.7136340141,2
278,23.4729039669,33.7251620293,2
279,23.4847531319,33.7377729416,2
280,23.4973909855,33.7505829334,2
281,23.5110230446,33.7694938183,2
282,23.5231389999,33.7759728432,2
283,23.5353629589,33.7905960083,2
284,23.5471701622,33.8020708561,2
285,23.560459137,33.8135399818,2
286,23.5731520653,33.8253889084,2
287,23.5849251747,33.8379409313,2
288,23.5970110893,33.8546948433,2
289,23.6146390438,33.8666558266,2
290,23.6272239685,33.8792169094,2
291,23.6422071457,33.8988249302,2
292,23.6544511318,33.9090080261,2
293,23.6665921211,33.9203250408,2
294,23.6783661842,33.9310820103,2
295,23.6906321049,33.9432048798,2
296,23.7027690411,33.9560890198,2
297,23.71510005,33.9702899456,2
298,23.7269780636,33.9794888496,2
299,23.7417991161,33.9945309162,2
300,23.7563490868,34.0096418858,2
301,23.7680761814,34.020927906,2
302,23.7804551125,34.0336389542,2
303,23.7921640873,34.0449039936,2
304,23.8036961555,34.0561769009,2
305,23.8171060085,34.0702388287,2
306,23.8290581703,34.0831928253,2
307,23.8410930634,34.0941410065,2
308,23.8528211117,34.1081328392,2
309,23.864413023,34.1165468693,2
310,23.8797450066,34.1320009232,0
311,23.895042181,34.1480119228,0
312,23.9067161083,34.1593739986,0
313,23.9205260277,34.1726639271,0
314,23.9324769974,34.1854019165,0
315,23.9482870102,34.2011239529,0
316,23.9613051414,34.2134308815,0
317,23.9743700027,34.2266759872,0
318,23.9860069752,34.2381999493,0
319,23.9985661507,34.2505040169,0
320,24.0103540421,34.2622518539,0
321,24.0222661495,34.274132967,0
322,24.0368640423,34.2902429104,0
323,24.0515110493,34.3102049828,0
324,24.0630090237,34.316742897,0
325,24.0747141838,34.3267588615,0
326,24.0865910053,34.3384718895,0
327,24.0986461639,34.3517270088,0
328,24.113366127,34.3658778667,0
329,24.1250720024,34.3780298233,0
330,24.1369609833,34.3894000053,0
331,24.1490850449,34.4012198448,0
332,24.16142416,34.413533926,0
333,24.1733651161,34.425798893,0
334,24.1856520176,34.4378650188,0
335,24.1975460052,34.4516189098,0
336,24.2092599869,34.4617068768,0
337,24.2210841179,34.4941558838,0
338,24.2325880527,34.5013108253,0
339,24.2450010777,34.501762867,0
340,24.2598409653,34.5154340267,0
341,24.2740731239,34.5263268948,0
342,24.2860729694,34.5393178463,0
343,24.297960043,34.5510528088,0
344,24.3106460571,34.565196991,0
345,24.3242330551,34.576982975,0
346,24.3362600803,34.5891399384,0
347,24.3480591774,34.6004188061,0
348,24.3598651886,34.6131060123,0
349,24.3740260601,34.6268389225,0
350,24.3905591965,34.642843008,0
351,24.4030311108,34.6553208828,0
352,24.4174051285,34.6700398922,0
353,24.4291751385,34.6839499474,0
354,24.4410271645,34.6934700012,0
355,24.4530551434,34.7054419518,0
356,24.4658939838,34.7192218304,0
357,24.4776241779,34.7298529148,0
358,24.4893190861,34.7432880402,0
359,24.5014100075,34.7573568821,0
360,24.5175590515,34.7703619003,0
361,24.5298070908,34.7823829651,0
