FlowIdx,ArrivalTime,GeneratingTime,FlowDelay,MulticastIdx,GWDelay,UEDelay,Protocol
66.0,4.21567606926,3.47402310371,0.74814105034,3.0,100.0,50.0,3GPP
67.0,4.22492003441,3.48612594604,0.74528217316,3.0,100.0,50.0,3GPP
68.0,4.27052211762,3.53142690659,0.74558329582,3.0,100.0,50.0,3GPP
69.0,4.36982703209,3.6267850399,0.74953007698,3.0,100.0,50.0,3GPP
70.0,4.46414089203,3.72213101387,0.74849796295,3.0,100.0,50.0,3GPP
71.0,4.51403188706,3.77398705482,0.74653291703,3.0,100.0,50.0,3GPP
72.0,4.52666401863,3.78738594055,0.74576616287,3.0,100.0,50.0,3GPP
73.0,4.54299902916,3.80023407936,0.74925303459,3.0,100.0,50.0,3GPP
74.0,4.58664107323,3.8457660675,0.74736309052,3.0,100.0,50.0,3GPP
75.0,4.68158006668,3.94183301926,0.74623513221,3.0,100.0,50.0,3GPP
76.0,4.7796459198,4.03792405128,0.74820995331,3.0,100.0,50.0,3GPP
77.0,4.82945609093,4.08992505074,0.74601912498,3.0,100.0,50.0,3GPP
78.0,4.84168505669,4.10214209557,0.74603104591,3.0,100.0,50.0,3GPP
79.0,4.85328507424,4.11438393593,0.7453892231,3.0,100.0,50.0,3GPP
80.0,4.90138292313,4.16006708145,0.74780392647,3.0,100.0,50.0,3GPP
81.0,4.99758410454,4.25745391846,0.74661827087,3.0,100.0,50.0,3GPP
82.0,5.09392595291,4.35420703888,0.74620699882,3.0,100.0,50.0,3GPP
83.0,5.14675211907,4.40658903122,0.74665117264,3.0,100.0,50.0,3GPP
84.0,5.16120409966,4.41869711876,0.74899506569,3.0,100.0,50.0,3GPP
85.0,5.17477798462,4.43290090561,0.7483651638,3.0,100.0,50.0,3GPP
86.0,5.2216129303,4.47840309143,0.74969792366,3.0,100.0,50.0,3GPP
87.0,5.31833600998,4.57822108269,0.74660301208,3.0,100.0,50.0,3GPP
88.0,5.41291093827,4.67361903191,0.74577999115,3.0,100.0,50.0,3GPP
89.0,5.46528911591,4.72573900223,0.74603819847,3.0,100.0,50.0,3GPP
90.0,5.48387098313,4.7381310463,0.75222802162,3.0,100.0,50.0,3GPP
91.0,5.48822808266,4.75004506111,0.74467110634,3.0,100.0,50.0,3GPP
92.0,5.53432011605,4.79521203041,0.74559617043,3.0,100.0,50.0,3GPP
93.0,5.6294169426,4.89046597481,0.74543905258,3.0,100.0,50.0,3GPP
94.0,5.72474598885,4.98561000824,0.7456240654,3.0,100.0,50.0,3GPP
95.0,5.77748799324,5.0376060009,0.74637007713,3.0,100.0,50.0,3GPP
96.0,5.78943705559,5.04978299141,0.74614214897,3.0,100.0,50.0,3GPP
97.0,5.80018591881,5.0615799427,0.7450940609,3.0,100.0,50.0,3GPP
98.0,5.84943199158,5.10679411888,0.74912595749,3.0,100.0,50.0,3GPP
99.0,5.94212889672,5.2021420002,0.74647498131,3.0,100.0,50.0,3GPP
100.0,6.03762507439,5.2972009182,0.74691224098,3.0,100.0,50.0,3GPP
101.0,6.0875530243,5.34916496277,0.74487614632,3.0,100.0,50.0,3GPP
102.0,6.10341310501,5.36136889458,0.74853229522,3.0,100.0,50.0,3GPP
103.0,6.11562204361,5.3735640049,0.7485461235,3.0,100.0,50.0,3GPP
104.0,6.15812897682,5.4191570282,0.74546003341,3.0,100.0,50.0,3GPP
105.0,6.25530195237,5.51457691193,0.74721312523,3.0,100.0,50.0,3GPP
106.0,6.35236907006,5.61162209511,0.74723505974,3.0,100.0,50.0,3GPP
107.0,6.40212702751,5.66342806816,0.74518704414,3.0,100.0,50.0,3GPP
108.0,6.41482591629,5.67557501793,0.74573898315,3.0,100.0,50.0,3GPP
109.0,6.43405508995,5.68832802773,0.75221514701,3.0,100.0,50.0,3GPP
110.0,6.47430491448,5.73401594162,0.74677705765,3.0,100.0,50.0,3GPP
111.0,6.57245492935,5.82991909981,0.74902391433,3.0,100.0,50.0,3GPP
112.0,6.66790008545,5.92806792259,0.74632024765,3.0,100.0,50.0,3GPP
113.0,6.71954798699,5.97992992401,0.74610614777,3.0,100.0,50.0,3GPP
114.0,6.73189306259,5.99222898483,0.74615216255,3.0,100.0,50.0,3GPP
115.0,6.74710893631,6.00588107109,0.74771595001,3.0,100.0,50.0,3GPP
116.0,6.79067611695,6.05160307884,0.7455611229,3.0,100.0,50.0,3GPP
117.0,6.88648700714,6.14745092392,0.74552416801,3.0,100.0,50.0,3GPP
118.0,6.98512005806,6.24356102943,0.74804711342,3.0,100.0,50.0,3GPP
119.0,7.03409290314,6.29524707794,0.74533390999,3.0,100.0,50.0,3GPP
120.0,7.04678392411,6.30721998215,0.74605202675,3.0,100.0,50.0,3GPP
121.0,7.06385493279,6.31944298744,0.75090003014,3.0,100.0,50.0,3GPP
122.0,7.10643410683,6.36515903473,0.74776315689,3.0,100.0,50.0,3GPP
123.0,7.20133805275,6.46193099022,0.74589514732,3.0,100.0,50.0,3GPP
124.0,7.29793810845,6.55823707581,0.74618911743,3.0,100.0,50.0,3GPP
125.0,7.3510670662,6.61045098305,0.74710416794,3.0,100.0,50.0,3GPP
126.0,7.36240291596,6.62244391441,0.74644708634,3.0,100.0,50.0,3GPP
127.0,7.37351608277,6.63541412354,0.74459004402,3.0,100.0,50.0,3GPP
128.0,7.42148303986,6.68075990677,0.74721121788,3.0,100.0,50.0,3GPP
129.0,7.51587295533,6.77640104294,0.74595999718,3.0,100.0,50.0,3GPP
130.0,7.61294007302,6.87251710892,0.74691104889,3.0,100.0,50.0,3GPP
131.0,7.66296100617,6.92446708679,0.74498200417,3.0,100.0,50.0,3GPP
132.0,7.67711305619,6.93691492081,0.74668622017,3.0,100.0,50.0,3GPP
133.0,7.68804597855,6.94925689697,0.74527716637,3.0,100.0,50.0,3GPP
134.0,7.73385310173,6.99490594864,0.74543523788,3.0,100.0,50.0,3GPP
135.0,7.83088994026,7.09167289734,0.74570512771,3.0,100.0,50.0,3GPP
136.0,7.92817997933,7.18722200394,0.74744606018,3.0,100.0,50.0,3GPP
137.0,7.97844696045,7.23963499069,0.74530005455,3.0,100.0,50.0,3GPP
138.0,7.99185800553,7.25176906586,0.74657702446,3.0,100.0,50.0,3GPP
139.0,8.00566005707,7.26538300514,0.74676513672,3.0,100.0,50.0,3GPP
140.0,8.05002593994,7.31076097488,0.74575304985,3.0,100.0,50.0,3GPP
141.0,8.14935994149,7.4063410759,0.74950695038,3.0,100.0,50.0,3GPP
