Packet Index,Arrival Time,GeneratingTime,Flow Delay (sec),MulticastIdx,GWDelay,UEDelay,Protocol
63.0,9.59488606453,6.39667415619,3.1982119083400002,3.0,2000.0,500.0,3GPP
64.0,9.69225811959,6.50040698051,3.1918511390800006,3.0,2000.0,500.0,3GPP
65.0,9.79426503182,6.60342097282,3.190844059,3.0,2000.0,500.0,3GPP
66.0,9.90161800385,6.70745015144,3.1941678524100006,3.0,2000.0,500.0,3GPP
67.0,10.0058140755,6.80996394157,3.1958501339299996,3.0,2000.0,500.0,3GPP
68.0,10.1049571037,6.91277599335,3.19218111035,3.0,2000.0,500.0,3GPP
69.0,10.2061970234,7.01554894447,3.19064807893,3.0,2000.0,500.0,3GPP
70.0,10.3102021217,7.11781311035,3.1923890113499995,3.0,2000.0,500.0,3GPP
71.0,10.4234800339,7.22098612785,3.202493906050001,3.0,2000.0,500.0,3GPP
72.0,10.519051075,7.32333517075,3.19571590425,3.0,2000.0,500.0,3GPP
73.0,10.6213479042,7.42613005638,3.1952178478200004,3.0,2000.0,500.0,3GPP
74.0,10.721683979,7.52948403358,3.1921999454199996,3.0,2000.0,500.0,3GPP
75.0,10.830039978,7.63362503052,3.19641494748,3.0,2000.0,500.0,3GPP
76.0,10.9373459816,7.7360560894,3.2012898922,3.0,2000.0,500.0,3GPP
77.0,11.0398271084,7.83910894394,3.2007181644600005,3.0,2000.0,500.0,3GPP
78.0,11.1379370689,7.9416179657,3.1963191031999996,3.0,2000.0,500.0,3GPP
79.0,11.241574049,8.04406094551,3.1975131034900013,3.0,2000.0,500.0,3GPP
80.0,11.3451371193,8.14643406868,3.1987030506200007,3.0,2000.0,500.0,3GPP
81.0,11.4480929375,8.24985003471,3.1982429027899997,1.0,2000.0,500.0,3GPP
82.0,11.5505819321,8.35269498825,3.1978869438499995,1.0,2000.0,500.0,3GPP
83.0,11.6552040577,8.45621013641,3.1989939212900005,1.0,2000.0,500.0,3GPP
84.0,11.7666640282,8.55865216255,3.2080118656499987,1.0,2000.0,500.0,3GPP
85.0,11.8656620979,8.66133499146,3.204327106439999,1.0,2000.0,500.0,3GPP
86.0,11.9719719887,8.76410698891,3.207864999790001,1.0,2000.0,500.0,3GPP
87.0,12.0748929977,8.8662250042,3.208667993499999,1.0,2000.0,500.0,3GPP
88.0,12.1804449558,8.96895599365,3.21148896215,1.0,2000.0,500.0,3GPP
89.0,12.2822921276,9.07145595551,3.2108361720899996,1.0,2000.0,500.0,3GPP
90.0,12.388133049,9.17370200157,3.2144310474300006,1.0,2000.0,500.0,3GPP
91.0,12.4959540367,9.27562999725,3.2203240394500003,1.0,2000.0,500.0,3GPP
92.0,12.6002149582,9.37846708298,3.22174787522,1.0,2000.0,500.0,3GPP
93.0,12.7010929585,9.48535203934,3.21574091916,1.0,2000.0,500.0,3GPP
94.0,12.8062579632,9.58809709549,3.218160867710001,1.0,2000.0,500.0,3GPP
95.0,12.9148199558,9.69155907631,3.2232608794900006,1.0,2000.0,500.0,3GPP
96.0,13.0166931152,9.7947909832,3.2219021320000003,1.0,2000.0,500.0,3GPP
97.0,13.1213140488,9.89760017395,3.2237138748500005,1.0,2000.0,500.0,3GPP
98.0,13.2211899757,10.0003759861,3.2208139896,1.0,2000.0,500.0,3GPP
99.0,13.3299679756,10.1029651165,3.2270028591000006,1.0,2000.0,500.0,3GPP
100.0,13.4434309006,10.2056009769,3.2378299236999997,1.0,2000.0,500.0,3GPP
101.0,13.5416200161,10.3087551594,3.232864856699999,1.0,2000.0,500.0,3GPP
102.0,13.6386349201,10.4115281105,3.2271068095999986,1.0,2000.0,500.0,3GPP
103.0,13.757682085,10.5141510963,3.2435309887,1.0,2000.0,500.0,3GPP
104.0,13.8517839909,10.6169710159,3.2348129749999988,1.0,2000.0,500.0,3GPP
105.0,13.9509210587,10.7190690041,3.231852054600001,1.0,2000.0,500.0,3GPP
106.0,14.0623071194,10.8212301731,3.2410769462999998,1.0,2000.0,500.0,3GPP
107.0,14.1566090584,10.9244661331,3.2321429253000016,1.0,2000.0,500.0,3GPP
108.0,14.2700889111,11.0272130966,3.2428758144999996,1.0,2000.0,500.0,3GPP
109.0,14.373636961,11.1301970482,3.2434399128000013,1.0,2000.0,500.0,3GPP
110.0,14.4790270329,11.2364661694,3.2425608634999996,1.0,2000.0,500.0,3GPP
111.0,14.5760529041,11.3392231464,3.2368297577000007,1.0,2000.0,500.0,3GPP
112.0,14.6840200424,11.4419569969,3.2420630455,1.0,2000.0,500.0,3GPP
113.0,14.7880549431,11.5446891785,3.2433657646,1.0,2000.0,500.0,3GPP
114.0,14.9045541287,11.6477899551,3.256764173599999,1.0,2000.0,500.0,3GPP
115.0,14.9968059063,11.7508161068,3.2459897995,1.0,2000.0,500.0,3GPP
116.0,15.1020219326,11.853454113,3.2485678196,1.0,2000.0,500.0,3GPP
117.0,15.201925993,11.9562590122,3.2456669807999994,1.0,2000.0,500.0,3GPP
118.0,15.3213539124,12.0587260723,3.2626278400999986,1.0,2000.0,500.0,3GPP
119.0,15.4185419083,12.1615791321,3.2569627762,1.0,2000.0,500.0,3GPP
120.0,15.5278019905,12.2650821209,3.2627198695999997,1.0,2000.0,500.0,3GPP
121.0,15.6276159287,12.3686051369,3.2590107917999998,1.0,2000.0,500.0,3GPP
122.0,20.6582660675,12.471006155,8.187259912500002,2.0,2000.0,500.0,3GPP
123.0,20.7592849731,12.5737609863,8.185523986800002,2.0,2000.0,500.0,3GPP
