PacketSeqNo,GeneratedTime(sec),ArrivalTime(sec),MulticastIdx
1,0.00185894966125,7.49344491959,1
2,0.104038953781,7.59545397758,1
3,0.207551002502,7.69988799095,1
4,0.310467004776,7.80057001114,1
5,0.413365840912,7.90441894531,1
6,0.51624083519,8.00800395012,1
7,0.618344783783,8.11042785645,1
8,0.720425844193,8.20986890793,1
9,0.823128938675,8.31363892555,1
10,0.925759792328,8.42000007629,1
11,1.03045296669,8.52307200432,1
12,1.13345789909,8.62396287918,1
13,1.23651790619,8.72873401642,1
14,1.33886480331,8.83057594299,1
15,1.44145083427,8.93344807625,1
16,1.54465293884,9.03626608849,1
17,1.64785385132,9.14234495163,1
18,1.75057578087,9.23994898796,1
19,1.85374879837,9.34430289268,1
20,1.95669579506,9.44913005829,1
21,2.05998277664,9.5516898632,1
22,2.1641190052,9.65633296967,1
23,2.26783895493,9.7602660656,1
24,2.37122797966,9.86287903786,1
25,2.47450685501,9.96544599533,1
26,2.57740783691,10.0686788559,1
27,2.67998600006,10.1718289852,1
28,2.78330492973,10.2747859955,1
29,2.88679599762,10.3772540092,1
30,2.98888278008,10.4808959961,1
31,3.09174585342,10.5839490891,1
32,3.19482588768,10.6868600845,1
33,3.2977809906,10.7883479595,1
34,3.40028190613,10.8919329643,1
35,3.50374794006,10.9951250553,1
36,3.6064748764,11.097661972,1
37,3.70864391327,11.1996669769,1
38,3.81207895279,11.3041958809,1
39,3.91491889954,11.4075520039,1
40,4.01792883873,11.5108499527,1
41,4.12084889412,11.6128070354,1
42,4.22393679619,11.7157258987,1
43,4.32684087753,11.8174328804,1
44,4.42936396599,11.9228379726,2
45,4.53178191185,12.0206480026,2
46,4.63451385498,12.1293830872,2
47,4.73761296272,12.2267620564,2
48,4.83981895447,12.33593297,2
49,4.94224286079,12.4330408573,2
50,5.04528093338,12.5408248901,2
51,5.14859080315,12.6390118599,2
52,5.25135183334,12.74365592,2
53,5.35449695587,12.8442680836,2
54,5.45657682419,12.9478399754,2
55,5.5593059063,13.0512449741,2
56,5.66266894341,13.1531190872,2
57,5.76577496529,13.2573878765,2
58,5.86881899834,13.3603270054,2
59,5.97252488136,13.4634940624,2
60,6.07548379898,13.5649459362,2
61,6.17842483521,13.668956995,2
62,6.28143978119,13.7721199989,2
63,6.38455080986,13.8752019405,2
64,6.48713994026,13.9766628742,2
65,6.58995079994,14.079087019,2
66,6.69298195839,14.1832900047,2
67,6.79657578468,14.2884669304,2
68,6.89921593666,14.3896529675,2
69,7.00223278999,14.4934949875,2
70,7.10639381409,14.5975499153,2
71,7.20976400375,14.6995680332,2
72,7.31218385696,14.8016140461,2
73,7.41430878639,14.9056868553,2
74,7.51711177826,15.006499052,2
75,7.62013888359,15.1116690636,2
76,7.72286486626,15.2141509056,2
77,7.82608985901,15.318005085,2
78,7.92944979668,15.4197590351,2
79,8.03293800354,15.5252609253,2
80,8.13556480408,15.6278049946,2
81,8.23818898201,15.7311170101,2
82,8.34070396423,15.8326599598,2
83,8.44400382042,15.9354910851,2
84,8.54776096344,16.0388839245,2
85,8.65033483505,16.1412630081,2
86,8.75337600708,16.2452189922,2
87,8.85658192635,16.3477568626,2
88,8.95976686478,16.4512019157,2
89,9.06261992455,16.5528509617,2
90,9.16620588303,16.6576809883,2
91,9.26854395866,16.7605469227,2
92,9.37118792534,16.8642280102,2
93,9.47398900986,16.9671869278,2
94,9.57656884193,17.065871954,2
95,9.67903780937,17.1707508564,2
96,9.78251981735,17.2747778893,2
97,9.8858230114,17.3748679161,2
98,9.98892879486,17.4811480045,2
99,10.0924599171,17.5881319046,2
100,10.1947939396,17.6887040138,0
101,10.2967159748,17.786616087,0
102,10.3989188671,17.8883318901,0
103,10.5015859604,17.9910230637,0
104,10.6038088799,18.0996770859,0
105,10.7071919441,18.1972150803,0
106,10.8101978302,18.3016290665,0
107,10.9138388634,18.4043109417,0
108,11.0172028542,18.5069179535,0
109,11.1203989983,18.6114740372,0
110,11.2237730026,18.7136759758,0
111,11.3271169662,18.8175690174,0
112,11.4300968647,18.9204978943,0
113,11.5337789059,19.0236549377,0
114,11.636743784,19.1264350414,0
115,11.7395339012,19.2317330837,0
116,11.8415808678,19.3311009407,0
117,11.9460318089,19.4369969368,0
118,12.0485668182,19.5380680561,0
119,12.1517369747,19.641450882,0
120,12.2567279339,19.7493469715,0
121,12.360024929,19.8528010845,0
122,12.462872982,19.9568619728,0
123,12.5659818649,20.0568180084,0
124,12.6685988903,20.1618130207,0
125,12.7716238499,20.2644159794,0
126,12.8756709099,20.3671839237,0
127,12.9785318375,20.4683880806,0
128,13.0817248821,20.5752720833,0
129,13.1852970123,20.679090023,0
130,13.2895669937,20.781471014,0
131,13.3922657967,20.881551981,0
132,13.4950590134,20.985077858,0
133,13.5978658199,21.0871260166,0
134,13.7001388073,21.1898238659,0
135,13.8028569221,21.2923848629,0
136,13.9059228897,21.3978140354,0
137,14.0101549625,21.4999508858,0
138,14.1125409603,21.6030359268,0
139,14.2150909901,21.7056829929,0
140,14.3179588318,21.8082010746,0
141,14.4216868877,21.9126300812,0
142,14.5246319771,22.0150389671,0
143,14.6281528473,22.118062973,0
144,14.7310957909,22.2213420868,0
145,14.8338999748,22.3239579201,0
146,14.9361958504,22.4255750179,0
147,15.0391619205,22.5289330482,0
148,15.1429309845,22.6332950592,0
149,15.2465348244,22.7368280888,0
150,15.3495359421,22.8382689953,0
151,15.4528949261,22.9427878857,3
152,15.5560369492,23.0451140404,3
153,15.6584229469,23.1517100334,3
154,15.7613539696,23.2520060539,3
