PacketSeqNo,GeneratingTime,ArrivalTime,MulticastIdx
1,0.00201606750488,3.15743398666,1
2,0.104199886322,3.25868010521,1
3,0.207290887833,3.36623811722,1
4,0.310794115067,3.46726799011,1
5,0.415570020676,3.57042098045,1
6,0.518666982651,3.67399597168,1
7,0.621815919876,3.7792391777,1
8,0.724370002747,3.88377404213,1
9,0.827121019363,3.99017500877,1
10,0.931051015854,4.09397411346,1
11,1.03909993172,4.20024514198,1
12,1.14182209969,4.29849910736,1
13,1.2453019619,4.40103912354,1
14,1.34824109077,4.50955700874,1
15,1.45089292526,4.61001205444,1
16,1.55373096466,4.71428012848,1
17,1.65705394745,4.81219816208,1
18,1.7595949173,4.9133181572,1
19,1.86202907562,5.01622104645,1
20,1.9649040699,5.12353897095,1
21,2.06891298294,5.22796416283,1
22,2.1713449955,5.33088707924,1
23,2.27472805977,5.42951798439,1
24,2.37799596786,5.54046797752,1
25,2.48152709007,5.64492201805,1
26,2.58539795876,5.74289011955,1
27,2.68790888786,5.84647297859,1
28,2.79052400589,5.94680118561,1
29,2.89342904091,6.0628349781,1
30,2.99520301819,6.15457606316,1
31,3.09816288948,6.26184916496,1
32,3.20746207237,6.36558008194,1
33,3.31583189964,6.47117900848,1
34,3.41877293587,6.58048200607,1
35,3.53043889999,6.68983697891,1
36,3.63239502907,6.7863650322,1
37,3.73496198654,6.89398217201,1
38,3.83741211891,6.99166703224,1
39,3.94773006439,7.10331201553,1
40,4.04960799217,7.2073431015,1
41,4.1552670002,7.31350111961,1
42,4.26022291183,7.41522598267,1
43,4.36447310448,7.52147507668,3
44,4.4669919014,7.63201999664,3
45,4.56865906715,7.72574806213,3
46,4.67158102989,7.82755303383,3
47,4.77415704727,7.93999505043,3
48,4.88000607491,8.0366461277,3
49,4.98288393021,8.13723611832,3
50,5.0851418972,8.24075198174,3
51,5.19228601456,8.34845709801,3
52,5.29514503479,8.45364713669,3
53,5.39886689186,8.56340408325,3
54,5.5011370182,8.65806603432,3
55,5.6036939621,8.76348018646,3
56,5.71517801285,8.87260007858,3
57,5.81729888916,8.97940611839,3
58,5.92490696907,9.08600497246,3
59,6.02693295479,9.18234395981,3
60,6.13122606277,9.29049110413,3
61,6.23315405846,9.39410805702,3
62,6.33504891396,9.49360013008,3
63,6.43693304062,9.59690213203,3
64,6.5388879776,9.69427418709,3
65,6.64222311974,9.79628109932,3
66,6.74484300613,9.90363407135,3
67,6.84963703156,10.007830143,3
68,6.95212888718,10.1069731712,3
69,7.05384302139,10.2082130909,3
70,7.15583896637,10.3122181892,3
71,7.25792908669,10.4254961014,3
72,7.36485600471,10.5210671425,3
73,7.46751499176,10.6233639717,3
74,7.56936311722,10.7237000465,3
75,7.6731441021,10.8320560455,3
76,7.77692389488,10.9393620491,3
77,7.87887310982,11.0418431759,3
78,7.98329591751,11.1399531364,3
79,8.08548212051,11.2435901165,3
80,8.18767595291,11.3471531868,3
81,8.29227590561,11.450109005,1
82,8.39702892303,11.5525979996,1
83,8.49938893318,11.6572201252,1
84,8.60531997681,11.7686800957,1
85,8.71181201935,11.8676781654,1
86,8.81580400467,11.9739880562,1
87,8.92064809799,12.0769090652,1
88,9.02367711067,12.1824610233,1
89,9.12573289871,12.2843081951,1
90,9.23321294785,12.3901491165,1
91,9.33521389961,12.4979701042,1
92,9.44041109085,12.6022310257,1
93,9.54424095154,12.703109026,1
94,9.65008091927,12.8082740307,1
95,9.75470209122,12.9168360233,1
96,9.86010599136,13.0187091827,1
97,9.96491789818,13.1233301163,1
98,10.0667049885,13.2232060432,1
99,10.1745550632,13.3319840431,1
100,10.28196311,13.4454469681,1
101,10.3840060234,13.5436360836,1
102,10.4863190651,13.6406509876,1
103,10.5922720432,13.7596981525,1
104,10.69531703,13.8538000584,1
105,10.7983579636,13.9529371262,1
106,10.9008750916,14.0643231869,1
107,11.0045759678,14.1586251259,1
108,11.1100900173,14.2721049786,1
109,11.2179350853,14.3756530285,1
110,11.3225529194,14.4810431004,1
111,11.4252779484,14.5780689716,1
112,11.532186985,14.6860361099,1
113,11.6342411041,14.7900710106,1
114,11.7401640415,14.9065701962,1
115,11.8417539597,14.9988219738,1
116,11.9451189041,15.1040380001,1
117,12.0503070354,15.2039420605,1
118,12.1581430435,15.3233699799,1
119,12.2643520832,15.4205579758,1
120,12.3680419922,15.529818058,1
121,12.4732589722,15.6296319962,1
122,17.5060689449,20.660282135,2
123,17.6085269451,20.7613010406,2
124,17.7106599808,20.8638510704,2
125,17.8138608932,20.9673349857,2
126,17.9161601067,21.070854187,2
127,18.0193889141,21.1736991405,2
128,18.1238799095,21.2804281712,2
129,18.2260870934,21.3842070103,2
130,18.3293199539,21.4842531681,2
131,18.4314188957,21.5877211094,2
132,18.5349171162,21.6944921017,2
133,18.6372079849,21.8004410267,2
134,18.7398359776,21.895815134,2
135,18.8454449177,22.0040440559,2
136,18.9481880665,22.1047360897,2
137,19.0517029762,22.2221050262,2
138,19.1554028988,22.3091151714,2
139,19.2580010891,22.4139671326,2
140,19.3606219292,22.518445015,2
141,19.4626591206,22.6173770428,2
142,19.5644800663,22.7318301201,2
143,19.6668469906,22.8247959614,2
144,19.7692019939,22.9268200397,2
145,19.8715760708,23.0327630043,2
146,19.9741120338,23.1295661926,2
147,20.0852560997,23.2458751202,2
148,20.1913070679,23.3485679626,2
149,20.293172121,23.4534990788,2
150,20.3971428871,23.5549490452,2
151,20.5018849373,23.6562161446,2
152,20.6045110226,23.7595751286,2
153,20.7063241005,23.8623859882,2
154,20.8092548847,23.9678061008,2
155,20.9115319252,24.0658459663,2
156,21.013915062,24.1745371819,2
157,21.1182279587,24.2766060829,2
158,21.2227089405,24.3801009655,2
159,21.3257238865,24.4848001003,2
160,21.4281280041,24.5845730305,2
161,21.5349049568,24.6941330433,2
162,21.6417479515,24.7974040508,2
163,21.7444040775,24.9022290707,2
164,21.8473620415,25.0116841793,0
165,21.9493970871,25.1069400311,0
166,22.0521600246,25.2067260742,0
167,22.1560559273,25.3123631477,0
168,22.2589290142,25.4176280499,0
169,22.3606688976,25.515786171,0
170,22.4648480415,25.6233100891,0
171,22.5691370964,25.7235360146,0
172,22.6723330021,25.8283159733,0
173,22.777328968,25.9333751202,0
174,22.8847219944,26.0397331715,0
175,22.9882938862,26.1480929852,0
176,23.0904250145,26.2582349777,0
177,23.1922290325,26.349861145,0
178,23.2948210239,26.4600811005,0
179,23.3966701031,26.5629541874,0
180,23.4994459152,26.6536860466,0
181,23.6054561138,26.762638092,0
182,23.7097730637,26.8681681156,0
183,23.8118009567,26.9715790749,0
184,23.9145379066,27.0722429752,0
185,24.0179140568,27.2630450726,0
186,24.2151699066,27.3739931583,0
187,24.3172559738,27.4817891121,0
188,24.4198460579,27.5801770687,0
189,24.5226490498,27.6770920753,0
190,24.6251571178,27.7829151154,0
191,24.7288990021,27.8899049759,0
192,24.8344531059,27.9907519817,0
193,24.9365921021,28.0907361507,0
194,25.0411379337,28.2016220093,0
195,25.1441171169,28.3002231121,0
196,25.2475159168,28.404531002,0
197,25.3500790596,28.5047581196,0
198,25.4537830353,28.609555006,0
199,25.5622270107,28.7171771526,0
200,25.6688570976,28.8236141205,0
201,25.7723650932,28.9336950779,0
202,25.8776290417,29.0337061882,0
203,30.9499430656,34.1064040661,3
204,31.0531749725,34.210362196,3
205,31.1560099125,34.3138561249,3
206,31.2585880756,34.4123620987,3
207,31.3619720936,34.5173339844,3
208,31.4647979736,34.6235980988,3
209,31.5676240921,34.7229890823,3
210,31.6708199978,34.8306679726,3
211,31.7739949226,34.9297530651,3
212,31.8761069775,35.033149004,3
213,31.9785120487,35.1344680786,3
214,32.0819549561,35.2371511459,3
215,32.1845231056,35.3399801254,3
216,32.2872989178,35.4448959827,3
217,32.3904049397,35.5514981747,3
218,32.4927361012,35.6514899731,3
219,32.5955500603,35.7518780231,3
220,32.7015559673,35.8603901863,3
221,32.8044879436,35.9634480476,3
222,32.9077379704,36.0685920715,3
223,33.0106310844,36.1699011326,3
224,33.1139090061,36.2720561028,3
225,33.2179269791,36.373748064,3
226,33.3202979565,36.478094101,3
227,33.4230821133,36.5941970348,3
228,33.5253419876,36.6834981441,3
229,33.6276569366,36.7828781605,3
230,33.7295401096,36.8915760517,3
231,33.8327169418,36.9918291569,3
232,33.9377129078,37.0976161957,3
233,34.0423281193,37.2038969994,3
234,34.1451311111,37.3038070202,3
235,34.2536149025,37.4098510742,3
236,34.3565459251,37.5185470581,3
237,34.4626429081,37.6188189983,3
238,34.5644860268,37.7239310741,3
239,34.6686310768,37.8277711868,3
240,34.7707281113,37.926625967,3
241,34.8728990555,38.0274240971,3
242,34.9780950546,38.1332201958,3
243,35.0839140415,38.2397580147,1
244,35.1869080067,38.3470630646,1
245,35.2900669575,38.4535281658,1
246,35.3919188976,38.5495831966,1
247,35.494371891,38.6494090557,1
248,35.5961940289,38.7535440922,1
249,35.7031230927,38.859333992,1
250,35.8048160076,38.960050106,1
251,35.9122509956,39.0699751377,1
252,36.0141921043,39.1746611595,1
253,36.1162960529,39.2732810974,1
254,36.2196359634,39.3828911781,1
255,36.3240339756,39.479115963,1
256,36.4260089397,39.587583065,1
257,36.5292160511,39.6900689602,1
258,36.6346449852,39.7895841599,1
259,36.7365550995,39.894411087,1
260,36.8409171104,39.9973261356,1
261,36.9439070225,40.1022660732,1
262,37.0458619595,40.2107629776,1
263,37.1533908844,40.3118059635,1
264,37.2553989887,40.418282032,1
265,37.357681036,40.5138940811,1
266,37.4648909569,40.6229970455,1
267,37.5702838898,40.7289540768,1
268,37.6724979877,40.8275420666,1
269,37.7745330334,40.933686018,1
270,37.8764719963,41.0322201252,1
271,37.9789979458,41.1382169724,1
272,38.0817649364,41.2407000065,1
273,38.1847500801,41.3398661613,1
274,38.2867939472,41.4519209862,1
275,38.3966960907,41.5577361584,1
276,38.4994559288,41.6560871601,1
277,38.6050729752,41.7691750526,1
278,38.7120189667,41.8680281639,1
279,38.8149459362,41.971902132,1
280,38.9168169498,42.0771269798,1
281,39.0224249363,42.1831071377,1
282,39.1251780987,42.2842690945,3
283,39.2316229343,42.3865330219,3
284,39.3350961208,42.4930870533,3
285,39.4378149509,42.5950021744,3
286,39.5402770042,42.7014451027,3
287,39.6481280327,42.807049036,3
288,39.7546389103,42.9130761623,3
289,39.8575479984,43.0142650604,3
290,39.9644141197,43.1322450638,3
291,40.0685880184,43.2239379883,3
292,40.1727390289,43.3296031952,3
293,40.2753760815,43.4435710907,3
294,40.3805229664,43.5369710922,3
295,40.4871320724,43.6435899734,3
296,40.5899889469,43.7479550838,3
297,40.6923940182,43.8627669811,3
298,40.8017449379,43.9578421116,3
299,40.9039299488,44.0633070469,3
300,41.0062661171,44.1638820171,3
301,41.1106610298,44.269505024,3
302,41.215485096,44.3700909615,3
303,41.320223093,44.478520155,3
304,41.4253480434,44.5848250389,3
305,41.5315790176,44.6872501373,3
306,41.6342840195,44.7903530598,3
307,41.7361550331,44.8931100368,3
308,41.8397951126,44.9944860935,3
309,41.9450221062,45.1040940285,3
310,42.0512330532,45.2069489956,3
311,42.1541190147,45.322065115,3
312,42.2563080788,45.4126050472,3
313,42.3581581116,45.5132641792,3
314,42.4642179012,45.6194460392,3
315,42.5663781166,45.7240869999,3
316,42.6692268848,45.8290159702,3
317,42.772687912,45.9314670563,3
318,42.8756980896,46.0372691154,3
319,42.981167078,46.1383399963,3
320,43.0877521038,46.2448270321,3
321,43.1900370121,46.347315073,1
322,43.2927548885,46.4563400745,1
323,43.4022080898,46.5601291656,1
324,43.5055170059,46.6682391167,1
325,43.611330986,46.7676200867,1
326,43.7144269943,46.8740110397,1
327,43.8162260056,46.9742760658,1
328,43.9229779243,47.0820381641,1
329,44.0291910172,47.1854929924,1
330,44.131180048,47.2879691124,1
331,44.234662056,47.3939290047,1
332,44.3421530724,47.4973161221,1
333,44.4443349838,47.6034421921,1
334,44.5472528934,47.7169730663,1
